원천도형ID,GIS건물통합식별번호,고유번호,법정동코드,법정동명,지번,특수지코드,특수지구분명,건축물용도코드,건축물용도명,건축물구조코드,건축물구조명,건축물면적,사용승인일자,연면적,대지면적,높이,건폐율,용적율,건축물ID,위반건축물여부,참조체계연계키,데이터기준일자,제공기관코드,제공기관명
3368,1984191933771840000000000000,2911010100100040000,2911000000,경기도 안양시 동안구 관양동,4,0,일반,14000,일반창고,21,조적,365.31,1984-12-31,2834.01,475,0,76.9074,515.9284,100204361,N,B0010000000A7MOV1,2018-01-11,,
3229,1998191924211830000000000000,2911010100100070000,2911000000,경기도 안양시 동안구 관양동,7,0,일반,70000,일반창고,21,조적,4902.92,1984-12-31,85264.46,8074.4,59.9,60.7218,618.3464,100204361,N,B0010000000A7MOV1,2018-01-11,,
3196,1997191985901830000000000000,2911010100100070000,2911000000,경기도 안양시 동안구 관양동,7,0,일반,14000,일반창고,31,조적,2791.37,1984-12-31,46990.35,7976.8,94.55,34.9936,378.589,100204361,N,B0010000000A7MOV1,2018-01-11,,
3209,1986191969141830000000000000,2911010100100150000,2911000000,경기도 안양시 동안구 관양동,15,0,일반,30000,일반창고,11,조적,94.28,1984-12-31,188.56,108.2,0,87.13,174.27,100204361,N,B0010000000A7MOV1,2018-01-11,,
3252,1976191979161830000000000000,2911010100100170000,2911000000,경기도 안양시 동안구 관양동,17,0,일반,30000,일반창고,21,조적,134.87,1984-12-31,550.07,0,0,0,0,100204361,N,B0010000000A7MOV1,2018-01-11,,
3311,1980192088531830000000000000,2911010100100200000,2911000000,경기도 안양시 동안구 관양동,20,0,일반,30000,일반창고,11,조적,149.255,1984-12-31,253.75,152.7,6.5,97.74,166.18,100204361,N,B0010000000A7MOV1,2018-01-11,,
3370,1987192069171830000000000000,2911010100100200000,2911000000,경기도 안양시 동안구 관양동,20,0,일반,40000,일반창고,21,조적,51.68,1984-12-31,103.36,66,0,78.3,156.6,100204361,N,B0010000000A7MOV1,2018-01-11,,
3371,1989192075071830000000000000,2911010100100200000,2911000000,경기도 안양시 동안구 관양동,20,0,일반,30000,일반창고,21,조적,47.7,1984-12-31,47.7,69.1,0,69.03,69.03,100204361,N,B0010000000A7MOV1,2018-01-11,,
3394,1980192080121830000000000000,2911010100100200000,2911000000,경기도 안양시 동안구 관양동,20,0,일반,30000,일반창고,11,조적,51.045,1984-12-31,102.09,0,0,0,0,100204361,N,B0010000000A7MOV1,2018-01-11,,
3354,1983192055741830000000000000,2911010100100210000,2911000000,경기도 안양시 동안구 관양동,21,0,일반,14000,일반창고,21,조적,739.81,1984-12-31,4454.41,1120.6,21.3,66.0191,324.4503,100204361,N,B0010000000A7MOV1,2018-01-11,,
3391,1995192077971830000000000000,2911010100100210000,2911000000,경기도 안양시 동안구 관양동,21,0,일반,40000,일반창고,11,조적,31,1984-12-31,93,40.1,7,79.8,231.92,100204361,N,B0010000000A7MOV1,2018-01-11,,
3399,1996192056391830000000000000,2911010100100210000,2911000000,경기도 안양시 동안구 관양동,21,0,일반,30000,일반창고,11,조적,24,1984-12-31,24,66,0,36.36,36.36,100204361,N,B0010000000A7MOV1,2018-01-11,,
3318,1982192032231830000000000000,2911010100100220000,2911000000,경기도 안양시 동안구 관양동,22,0,일반,40000,일반창고,21,조적,124.81,1984-12-31,722.08,0,0,0,0,100204361,N,B0010000000A7MOV1,2018-01-11,,
3295,2003192034471830000000000000,2911010100100220000,2911000000,경기도 안양시 동안구 관양동,22,0,일반,70000,일반창고,32,조적,225.75,1984-12-31,225.75,330.6,5.1,68.28,68.28,100204361,N,B0010000000A7MOV1,2018-01-11,,
3208,1981192021771830000000000000,2911010100100220000,2911000000,경기도 안양시 동안구 관양동,22,0,일반,30000,일반창고,11,조적,63.08,1984-12-31,122.01,0,0,0,0,100204361,N,B0010000000A7MOV1,2018-01-11,,
3312,1952192015711830000000000000,2911010100100220000,2911000000,경기도 안양시 동안구 관양동,22,0,일반,10000,일반창고,51,조적,39.33,1984-12-31,39.33,198.3,4,19.83,19.83,100204361,N,B0010000000A7MOV1,2018-01-11,,
3345,1952192026671830000000000000,2911010100100220000,2911000000,경기도 안양시 동안구 관양동,22,0,일반,30000,일반창고,11,조적,75.53,1984-12-31,136.89,198.3,8,38.09,69.03,100204361,N,B0010000000A7MOV1,2018-01-11,,
3293,2004192048691830000000000000,2911010100100220000,2911000000,경기도 안양시 동안구 관양동,22,0,일반,15000,일반창고,21,조적,269.1,1984-12-31,269.1,429.4,4.5,62.67,62.67,100204361,N,B0010000000A7MOV1,2018-01-11,,
3366,1996192028481830000000000000,2911010100100230000,2911000000,경기도 안양시 동안구 관양동,23,0,일반,30000,일반창고,21,조적,85.68,1984-12-31,296.05,104.8,12.47,81.75,282.49,100204361,N,B0010000000A7MOV1,2018-01-11,,
3365,1997192023841830000000000000,2911010100100230000,2911000000,경기도 안양시 동안구 관양동,23,0,일반,15000,일반창고,21,조적,107.93,1984-12-31,569.468,158.9,23,67.92,324.13,100204361,N,B0010000000A7MOV1,2018-01-11,,
3364,1998192017801830000000000000,2911010100100230000,2911000000,경기도 안양시 동안구 관양동,23,0,일반,30000,일반창고,21,조적,74.77,1984-12-31,199.14,100.2,7.37,74.62,198.74,100204361,N,B0010000000A7MOV1,2018-01-11,,
3214,1967192006941830000000000000,2911010100100230000,2911000000,경기도 안양시 동안구 관양동,23,0,일반,15000,일반창고,11,조적,11.9,1984-12-31,11.9,118.3,4,94.16,255.11,100204361,N,B0010000000A7MOV1,2018-01-11,,
3339,1967192012551830000000000000,2911010100100230000,2911000000,경기도 안양시 동안구 관양동,23,0,일반,40000,일반창고,11,조적,99.5,1984-12-31,289.9,118.3,12,94.16,255.11,100204361,N,B0010000000A7MOV1,2018-01-11,,
3218,1976191999091830000000000000,2911010100100230000,2911000000,경기도 안양시 동안구 관양동,23,0,일반,30000,일반창고,11,조적,43.96,1984-12-31,125.36,62.85,0,69.94,199.46,100204361,N,B0010000000A7MOV1,2018-01-11,,
3210,1994192003901830000000000000,2911010100100230000,2911000000,경기도 안양시 동안구 관양동,23,0,일반,40000,일반창고,21,조적,108.39,1984-12-31,145.29,146.69,6.8,73.89,99.05,100204361,N,B0010000000A7MOV1,2018-01-11,,
3367,2001192014011830000000000000,2911010100100230000,2911000000,경기도 안양시 동안구 관양동,23,0,일반,10000,일반창고,21,조적,128.6,1984-12-31,460.4,193.4,13.2,66.49,238.06,100204361,N,B0010000000A7MOV1,2018-01-11,,
3104,1989192019821830000000000000,2911010100100230000,2911000000,경기도 안양시 동안구 관양동,23,0,일반,10000,일반창고,11,조적,84.3,1984-12-31,167.58,107.75,0,78.24,155.53,100204361,N,B0010000000A7MOV1,2018-01-11,,
2597,1982192059131830000000000000,2911010100100270000,2911000000,경기도 안양시 동안구 관양동,27,0,일반,70000,일반창고,21,조적,0,1984-12-31,10506.83,2500,0,0,420.2732,100204361,N,B0010000000A7MOV1,2018-01-11,,
