견인차량보관소명,소재지도로명주소,소재지지번주소,위도,경도,보관소전화번호,보관소면적,보관가능대수,견인료기본요금,견인료추가요금,보관료,관리기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
창원시 견인차량보관소,경상남도 창원시 성산구 중앙대로21번길 10-11,경상남도 창원시 성산구 중앙동 102-3,35.219253,128.673961,055-283-8300,1284,35,"2.5톤 미만 30,000원+2.5톤 이상 6.5톤 미만 35,000원+6.5톤 이상 45,000원","2.5톤 미만 1,000원+2.5톤 이상 6.5톤 미만 1,400원+6.5톤 이상 2,500원","승용 소형승합 소형화물 기본 30분 500원+10분당 200원+1일 6,000원/대형승합 대형화물 기본 30분 1,000원+10분당 400원+1일 12,000원",055-272-4441,경상남도 창원시청,2020-07-14,5670000,경상남도 창원시
부산광역시 북구 견인보관소,부산광역시 북구 만덕대로65번길 83(덕천동),부산광역시 북구 덕천동 457-38,35.21542008,129.0105477,051-335-7551,210,40,"2.5톤 미만 : 40,000원, 2.5톤 이상~6.5톤 미만 : 45,000원, 6.5톤 이상 : 50,000원","2.5톤 미만 : 1,000원, 2.5톤 이상~6.5톤 미만 : 1,400원, 6.5톤 이상 : 2,500원","30분당 700원(보관일로부터 1개월까지 부과징수, 1일 15,000월을 상한으로 한다)",051-309-4569,부산광역시 북구청,2020-07-21,3320000,부산광역시 북구
수원시견인차량보관소,,경기도 수원시 권선구 대황교동 253,37.2374492,127.0184854,031-238-0560,2027,80,30000,,최초 900원(30분이후 10분초과시 400원 가산),031-238-0560,수원도시공사 주차사업부 견인거주자팀,2019-09-05,3740000,경기도 수원시
연수구견인차량보관소,인천광역시 연수구 원인재로 324(연수동),인천광역시 연수구 연수동 532-2,37.4225729,126.6945886,032-830-8061,1440,32,2.5톤미만 30000원+2.5톤이상 6.5톤미만 35000원+6.5톤이상 50000원,2.5톤미만 1000원+2.5톤이상 6.5톤미만 1400원+6.5톤이상 2500원,최초 30분 1000원30분 후 15분당 500원,,연수구시설안전관리공단,2019-08-06,B553866,인천광역시연수구시설안전관리공단
중구견인차량보관소,대전광역시 중구 서문로 108(문화동),대전광역시 중구 문화동 311-77,36.311444,127.4091017,042-584-9525,1322,40,30000,1000,500,042-606-6885,중구청 교통과,2019-09-06,3650000,대전광역시 중구
남동구견인차량보관소,,인천광역시 남동구 남촌동 512-47,37.530504,126.724882,032-453-2903,,45,"30,000원","1,000원~2,500원(운행거리 및 차량에 비례)",1일 24000원,032-453-5191,남동구 도시관리공단,2019-09-03,3530000,인천광역시 남동구
부천시 견인차량보관소,경기도 부천시 소사로 482,,37.5026500,126.7989890,032-340-0960,2400,102,2.5톤미만30000원/6.5톤미만40000원/10톤미만60000원/10톤이상80000원,1km증가당 2.5톤미만1500원/6.5톤미만2300원/10톤미만3800원/10톤이상5100원,기본 30분 900원+10분당 400원+1일 최대 9500원(최대 30일까지),032-340-0945,부천도시공사,2019-08-30,3860000,경기도 부천시
서구견인차량보관소,인천광역시 서구 경명대로 265,인천광역시 서구 경서동 374-10,37.5579827965,126.638884,032-571-7714,956,29,2.5톤 미만 30000원+2.5톤 이상 6.5톤 미만 35000원+6.5톤 이상 50000원,2.5톤 미만 1000원+2.5톤 이상 6.5톤 미만 1400원+6.5톤 이상 2500원,기본 30분 1000원+15분당 500원+전일 10000원,032-560-5942,인천광역시 서구청,2019-08-30,3560000,인천광역시 서구
자동차관리보관소,경기도 구리시 벌말로80번길 56,경기도 구리시 토평동431-8,37.582371,127.146643,031-550-2847,2240,43,"30,000원 (편도5km까지)","1,000원 (매 km증가시)","1일 8,000원",031-550-2764,경기도 구리시청,2019-04-26,3980000,경기도 구리시
영등포구견인차량보관소,서울특별시 영등포구 경인로 112길 28,서울특별시 영등포구 영등포동1가 3-5,37.517462,126.915928,02-2650-1485,1975.10,75,4만원,입고시 기본 700원,30분당 700원,02-2650-1400,영등포구시설관리공단,2019-04-30,3180000,서울특별시 영등포구
견인차량보관소,인천광역시 미추홀구 소성로 22,인천광역시 미추홀구 용현동 286-11,37.4474807210,126.6521587088,032-225-0261,825,45,견인료 30000원,,30분당 1000원 단 1회 보관료는 344000원 한도,032-891-6091,인천광역시 미추홀구 시설관리공단,2019-09-20,3510500,인천광역시 미추홀구
강화군 견인차량보관소,,인천광역시 강화군 송해면 하도리 218-1,37.7687011153,126.4472527282,032-930-3366,1490,15,20000∼40000원,1000∼2500원,기본30분 600원 + 10분당 200원,032-930-3366,인천광역시 강화군청,2019-09-20,3570000,인천광역시 강화군
천안시 견인차량보관소,충청남도 천안시 동남구 천안천 10길 55,충청남도 천안시 동남구 신부동 261-3,36.8279084601,127.1622205024,041-529-5127,2428,76,2.5톤미만 25000원 2.5톤이상 6.5톤미만 30000원 6.5톤이상 40000원,매 km 증가시 2.5톤미만 2000원 2.5톤이상 6.5톤미만 3000원 6.5톤이상 4000원,1급지 기준 최초30분 무료 30분초과10분마다 200원 2시간초과 10분마다 300원 1일주차요금 10000원,041-529-5127,천안시시설관리공단,2019-09-19,4490000,충청남도 천안시
종합자원폐차장,강원도 정선군 고한읍 강원남로6558,강원도 정선군 고한읍 고한리 363-2,37.277969,128.861325,033-591-5001,,500,"40,000","2,500","12,000",033-560-2511,정선군 안전과,2019-06-30,4290000,강원도 정선군
종합자원폐차장,강원도 정선군 고한읍 강원남로6558,강원도 정선군 고한읍 고한리 363-2,37.277969,128.861325,033-591-5001,,500,"25,000","1,500","12,000",033-560-2511,정선군 안전과,2019-06-30,4290000,강원도 정선군
종합자원폐차장,강원도 정선군 고한읍 강원남로6558,강원도 정선군 고한읍 고한리 363-2,37.277969,128.861325,033-591-5001,,500,"20,000","1,000","12,000",033-560-2511,정선군 안전과,2019-06-30,4290000,강원도 정선군
불법주정차견인보관소,광주광역시 남구 송암로 66,광주광역시 남구 송하동370-2,35.1115380296,126.877156,062-607-4222,36,3,30000원,0,0,062-607-4222,광주광역시 남구청,2019-09-01,3610000,광주광역시 남구
강북구견인차량보관소,서울특별시 강북구 삼양로 678,서울특별시 강북구 우이동 99-2,37.6633699761,127.0126665439,02-944-3027,1707,65,"승용자동차(경형:40,000원,소형:45,000원,중형:50,000원,대형:60,000원),승합자동차(경형:40,000원,소형:60,000원,중형:80,000원,대형:140,000원),이륜자동차:40,000원,화물자동차 및 특수자동차(2.5톤미만:40,000원,2.5톤이상6.5톤미만:60,000원,6.5톤이상10톤미만:80,000원,10톤이상:140,000원)",,"30분당 700원(승합자동차중 중형과 대형, 화물 및 특수자동차중 6.5톤이상은 30분당 1,200원). 단, 1회 보관료는 50만원을 한도로 한다.",02-944-3024,서울특별시 강북구도시관리공단,2019-05-21,3080000,서울특별시 강북구
서구 견인차량보관소,부산광역시 서구 충무대로 108,부산광역시 서구 암남동 95-13,35.0806170149,129.0238838274,051-254-6441,,59,2.5톤미만 40000원+2.5톤이상 6.5톤미만 45000원+6.5톤이상 50000원,2.5톤미만 1000원+2.5톤이상 6.5톤미만 1400원+6.5톤이상 2500원,"기본 30분 700원+1일 15,000원 상한",051-240-4562,부산광역시 서구청,2019-09-27,3260000,부산광역시 서구
서산시청(방치차량보관소),충청남도 서산시 충의로 359-33,충청남도 서산시 성연면 일람리 809-33,36.8044925938,126.4382305527,041-660-2318,1000,24,"60,000원",없음,없음,041-660-2318,에스원,2019-10-02,4530000,충청남도 서산시
안산시 견인차량보관소,경기도 안산시 단원구 동산로 216,경기도 안산시 단원구 초지동 666-2,37.3210621454,126.8098426365,031-439-6300,3500,91,2.5톤미만 30000원+2.5톤이상 6.5톤미만 40000원+6.5톤이상 60000원,2.5톤미만 1000원+2.5톤이상 6.5톤미만 1400원+6.5톤이상 2500원,기본 30분 300원+30분초과시10분당 200원+1일 최대 4500원,031-481-2498,경기도 안산시청(안산도시공사),2019-07-05,3930000,경기도 안산시
목포시 호남공영주차장,전라남도 목포시 삼학로 27,,34.7909099,126.3890336,061-270-3540,2352,64,"2.5t 미만 : 20,0002.5t이상 ~6.5t미만 : 25,000 6.5t이상 : 40,000","2.5t미만 : 1,0002.5t이상~6.5t미만 : 1,4006.5t이상 : 2,500",목포시주차장설치및관리조례에 의한 공영주차장 주차요금 적용,061-270-8611,전라남도 목포시청,2019-10-08,4800000,전라남도 목포시
제일견인보관소,부산광역시 연제구 법원남로10번길 28(거제동),부산광역시 연제구 거제동 413-2,35.19129567,129.076016,051-817-1994,1717,80,"40,000원",,30분당 700원,,부산광역시 연제구,2019-11-19,3370000,부산광역시 연제구
대륙견인운수,부산광역시 해운대구 수영강변대로 10(우동),,35.1632415248,129.1336297690,051-744-0451,,47,"2.5톤 미만 40,000원   2.5톤~6.5톤 미만 45,000원","매km증가시 2.5톤 미만 1,000원   2.5톤~6.5톤 1,400원","2.5톤 미만 30분/700원   2.5톤~6.5톤 30분/1,400원",,부산광역시 수영구,2019-11-18,3380000,부산광역시 수영구
가양동차량보관소,서울특별시 강서구 양천로59길 16-9,서울특별시 강서구 가양동 451-7,37.5602033428,126.8597014237,02-3661-1936,7310,123,"1. 승용자동차 -경형 40,000원/ 소형 45,000원/ 중형 50,000원/ 대형 60,000원2. 승합자동차-경형 40,000원/ 소형 60,000원/ 중형 80,000원/ 대형 140,000원3. 화물, 특수자동차- 2.5톤미만 40,000원/ 2.5톤이상 ~ 6.5톤미만 60,000원/ 6.5톤이상 ~ 10톤미만 80,000원/  10톤이상 140,000원  * 종전무게중심(2.5톤기준 40,000원 → 배기량별 차등적용",없음,6.5톤 미만 30분당 700원 / 6.5톤이상~10톤미만 30분당 1200원 (단 1회 보관료는 50만원 한도),02-3661-1936,서울특별시 강서구시설관리공단,2019-12-24,3150000,서울특별시 강서구
부산광역시 사하구 견인보관소,부산광역시 사하구 장림로 106(장림동),,35.08166819,128.9608026,051-265-6184,660,40,"2.5톤 미만 : 40,000원+2.5톤 이상~6.5톤 미만 : 45,000원+6.5톤 이상 : 50,000원","2.5톤 미만 : 1,000원+2.5톤 이상~6.5톤 미만 : 1,400원+6.5톤 이상 : 2,500원","30분당 700원(보관일로부터 1개월까지 부과징수, 1일 15,000월을 상한으로 한다)",051-220-4562,부산광역시 사하구청,2020-01-01,3340000,부산광역시 사하구
㈜이천자동차견인대행사,경기도 이천시 이섭대천로941번길 137-11(율현동),경기도 이천시 율현동 486,37.2537369,127.4376413,031-637-7999,1435,50,2.5톤미만 20000원 2.5~6.5톤 25000원 6.5톤이상 40000원,"(매 km증가시)2.5톤미만 1,000원2.5~6.5톤 1400원6.5톤이상 2500원","30분 500원(하루 최대 11,000원)",031-644-2387,경기도 이천시청,2020-02-11,4070000,경기도 이천시
성북구견인차량보관소,서울특별시 성북구 동소문로 44길 44-1,서울특별시 성북구 하월곡동 88-8,37.6061015,127.0280616,02-6925-2004,1006,21,"40,000",0,"30분당 700원(승합자동차 중 중형과 대형 및 화물자동차 중 6.5톤 이상은 1,200원)단, 1회 보관료는 50만원을 한도로 한다.",02-6925-2004,성북구도시관리공단,2019-03-13,3070000,서울특별시 성북구
구로견인차량보관소,,서울특별시 구로구 개봉동 247-23,37.495159,126.849406,02-2066-1325,890,48,"경차:40,000원소형:45,000원중형:50,000원대형:60,000원",없음,30분당 700원,02-860-3183,구로구청 주차관리과,2020-02-20,3160000,서울특별시 구로구
계양구 견인차량보관소,인천광역시 계양구 봉오대로 687,,37.5305478452,126.7253203056,032-719-4487,,56,"2.5톤미만 30,000원+2.5톤이상 6.5톤미만 35,000원+6.5톤이상 50,000원","2.5톤미만 1,000원+2.5톤이상 6.5톤미만 1,400원+6.5톤이상 2,500원","기본 30분 1,000원+15분당 500원 추가",032-719-4487,인천광역시계양구시설관리공단,2020-02-01,B551295,인천광역시계양구시설관리공단
익산시 일원폐차산업,전라북도 익산시 약촌로 53-8,전라북도 익산시 금강동 375-1,35.9382246859,126.9771881882,063-843-8422,9640,400,"기본40,000원","관내는 없음관외의 경우 반경 10km는 기본요금40,000원",1일 기준 5000원,063-859-5973,전북 익산시청,2020-03-02,4680000,전라북도 익산시
송파구 견인차량보관소,서울특별시 송파구 탄천동로 690,서울특별시 송파구 장지동 770-1,37.4772089662,127.1183733664,02-414-7037,3777,76,"승용자동차(40,000~60,000원), 승합자동차(40,000~140,000원), 화물,특수자동차(40,000~140,000원)",,30분당 700원(1회 보관료는 50만원 한도),02-214-3204,서울특별시 송파구청,2020-03-11,3230000,서울특별시 송파구
사상견인차량보관소,부산광역시 사상구 가야대로 309,부산광역시 사상구 주례동 1233-7,35.1510331393,129.0064340138,051-328-0245,909,30,"2.5톤 미만 40,000원+2.5톤 이상 6.5톤 미만 45,000원+6.5톤 이상 50,000원",2.5톤 미만 1000원+2.5톤 이상 6.5톤 미만 1400원+6.5톤 이상 2500원,"30분당700원(보관일로부터 1개월까지 부과,징수하되,1일 15,000원을 상한으로 한다)",051-310-4506,부산광역시 사상구청 교통행정과 교통지도계,2020-03-19,3390000,부산광역시 사상구
광주시견인차량보관소,경기도 광주시 포은대로 692-6,경기도 광주시 장지동 214-7,37.38718835,127.2459575,031-760-2518,1600,35,2.5톤미만 20000원+2.5톤이상 6.5톤미만 25000원+6.5톤이상 40000원,2.5톤미만 1000원+2.5톤이상 6.5톤미만 1400원+6.5톤이상 2500원,기본 30분 800원+10분당 300원+최초1일보관료 16100원(1일 보관료 16200원),031-760-2101,경기도 광주시청 교통정책과,2020-04-04,5540000,경기도 광주시
안성시견인차량보관소,경기도 안성시 종합운동장로 203,경기도 안성시 보개면 양복리 238-1,37.0147795,127.3230533,031-678-2827,400,10,20000,1000,기본30분500원+30분당500원,031-678-2827,안성시 교통정책과,2020-03-31,4080000,경기도 안성시
파주시견인차량보관소,경기도 파주시 금촌동 1025,경기도 파주시 금촌동 1025,37.749175,126.7679278,031-953-1549,1872,50,"20,000원","km 당 1,000원","500원(최초 30분까지 500원, 추가 30분당 500원)",031-953-1549,파주시시설관리공단 사업본부 교통서비스팀,2019-02-18,4060000,경기도 파주시
면목견인보관소,서울특별시 중랑구 면목천로 33,서울특별시 중랑구 면목동168-2,37.5792085,127.0812073,02-492-8185,,64,"승용(경형:40,000원,소형:45,000원,중형:50,000원,대형:60,000원)승합(경형:40,000원,소형:60,000원,중형:80,000원,대형:140,000원)화물,특수(2.5톤미만,40,000원,2.5톤이상6.5톤미만:60,000원,6.5톤이상10톤미만:80,000원,10톤이상:140,000원)",,"승용,승합(소형), 화물(6.5톤미만),특수(6.5톤미만): 30분당 700원승합(중형, 대형), 화물(6.5톤이상),특수(6.5톤이상):1,200원1회보관료 한도:50만원",02-2094-2635,중랑구청,2020-05-18,3060000,서울특별시 중랑구
공설운동장 주차장,충청북도 단양군 단양읍 별곡6길 26,충청북도 단양군 단양읍 별곡리 15-6,36.98734916,128.365617,043-420-2498,827,40,0,0,0,043-420-2498,충청북도 단양군청,2020-04-20,4480000,충청북도 단양군
울산남구견인차량보관소,울산광역시 남구 삼산로352번길 9,,35.5382461585,129.3456289906,052-226-0958,,67,2.5톤미만 30000원,,1시간 1000원+1일 최대10000원,052-226-0951,울산광역시 남구도시관리공단,2020-05-20,3700000,울산광역시 남구
양천구 견인차량보관소,서울특별시 양천구 목동동로 298,서울특별시 양천구 목동 915,37.5281321595,126.8765231493,02-2643-1337,1855,72,경형 40000원+소형 45000원+중형 50000원+대형60000원,없음,기본 30분  700원+30분당 700원,02-2620-3736,서울특별시 양천구,2020-05-21,3140000,서울특별시 양천구
원당 환승주차장,경기도 고양시 덕양구 호국로790번길 102,경기도 고양시 덕양구 성사동 394,37.65408443,126.8410987,031-964-1034,9900,279,"30,000(2.톤 미만/ 견인거리 5Km 미만)","추가 1Km 당 1,500원(2.5톤 미만)","기본 30분 200원, 추가10분당 100원/ 일 최대 3000원",031-929-4843,고양도시관리공사,2020-05-25,3940000,경기도 고양시
일산서구청 타워주차장,경기도 고양시 일산서구 중앙로 1600,경기도 고양시 일산서구 대화동 2321,37.6779725004,126.7452457782,031-8075-7482,400,180,"51,600",구난형 특수자동차 운임*요금표 기준을 따름,*,031-8075-7482,일산서구청 교통행정과,2020-05-25,3940000,경기도 고양시
주교제1공영주차장,경기도 고양시 덕양구 고양대로 1330,경기도 고양시 덕양구 주교동 206-1,37.6555995772,126.8317801418,031-966-8956,,360,"51,600",구난형 특수자동차 운임*요금표 기준을 따름,*,031-8075-5483,덕양구청 교통행정과,2020-05-25,3940000,경기도 고양시
포항시 불법주차차량 견인사무소,,경상북도 포항시 남구 상도동 121-1번지,36.003995,129.354055,054-243-8300,4110,130,2.5톤미만 30000원+2.5톤이상 6.5톤미만 35000원+6.5톤이상 55000원,2.5톤미만 1000원+2.5톤이상 6.5톤미만 1400원+6.5톤이상 2500원,기본 500원+30분당 500원,054-270-3613,포항시청 교통지원과,2020-06-09,5020000,경상북도 포항시
송탄견인관리사무소,경기도 평택시 탄현로 399,경기도 평택시 신장동 502,37.08726504,127.0603578,031-8024-6406,,45,2.5톤미만 20000원+2.5톤이상 6.5톤미만 25000원+6.5톤이상 40000원,2.5톤미만 1000원+2.5톤이상 6.5톤미만 1400원+6.5톤이상 2500원,"당일 날 비용 없음, 1일 경과시 8천원, 한달 최대 7만원",031-8024-6441,경기도 평택시청 송탄출장소,2020-04-29,3910000,경기도 평택시
평택시견인관리사무소,경기도 평택시 도일유통길 13-51 (도일동),경기도 평택시 도일동 1166-8,37.03942442,127.0991843,031-8024-4835,,39,2.5톤미만 20000원+2.5톤이상 6.5톤미만 25000원+6.5톤이상 40000원,2.5톤미만 1000원+2.5톤이상 6.5톤미만 1400원+6.5톤이상 2500원,"당일 날 비용 없음, 1일 경과시 8천원, 한달 최대 7만원",031-8024-4885,경기도 평택시청,2020-04-29,3910000,경기도 평택시
성남시 모란견인보관소,경기도 성남시 중원구 둔촌대로 10,경기도 성남시 중원구 성남동 4596,37.42890932,127.120155,031-752-9783,6870,100,"2.5톤미만 20,000원+2.5톤이상 6.5톤미만 25,000원+6.5톤이상 40,000원","2.5톤미만 1,000원+2.5톤이상 6.5톤미만 1,400원+6.5톤이상 2,500원",기본 30분  400원+10분당 200원,031-729-3682,경기도 성남시 교통도로국 주차지원과,2020-06-01,3780000,경기도 성남시
(주) 우리운송,부산광역시 동구 성남로 35-1 (좌천동),부산광역시 동구 성남로 35-1 (좌천동),35.1297470424,129.0544178959,051-403-6458,720,36,40000,매 km 증가시 1000원,30분당 700원,051-600-4564,부산 중구청,2020-06-24,3250000,부산광역시 중구
제일견인운수,부산광역시 동래구 중앙대로 1520,부산광역시 동래구 온천동 1750-1,35.2202859654,129.0863784248,051-517-0507,,40,"40,000","1,000(5km초과시 1km당)","18,000(1일)",051-519-4564,금정구청,2020-06-01,3350000,부산광역시 금정구
대륙견인운수,부산광역시 해운대구 수영강변대로 10,부산광역시 해운대구 우동 1417-4,35.16324169,129.1336288,051-744-0421,1640,60,"40,000원(2.5톤미만)","1,000원(2.5톤미만)",기본30분700원(10분당300원),051-749-4561,부산광역시해운대구청,2020-06-25,3330000,부산광역시 해운대구
광산로 제1공영주차장,광주광역시 광산구 광산로30번길 10,광주광역시 광산구 송정동 818-15,35.1381358044,126.7947825633,062-960-8640,,8,"2.5톤미만 30,000원+2.5톤이상 6.5톤미만 35,000원+6.5톤이상 50,000원",2.5톤미만 1000원+2.5톤이상 6.5톤미만 1400원+6.5톤이상 2500원,기본 30분 200원+15분당 100원+15분당 200원(2시간초과후),062-960-8640,광주광역시 광산구청,2020-07-01,3630000,광주광역시 광산구
남양주시 주차관리사무소,경기도 남양주시 오남읍 경복대로 95,경기도 남양주시 오남읍 양지리 244-1,37.71006937,127.2024107,031-590-2834,194.7,70,6.5톤이상6만원,"매km증가시2,500원","1일7,000원",031-590-4431,자동차관리과,2020-07-06,3990000,경기도 남양주시
남양주시 주차관리사무소,경기도 남양주시 오남읍 경복대로 95,경기도 남양주시 오남읍 양지리 244-1,37.71006937,127.2024107,031-590-2834,194.7,70,6.5톤미만4만원,"매km증가시1,400원","1일7,000원",031-590-4431,자동차관리과,2020-07-06,3990000,경기도 남양주시
남양주시 주차관리사무소,경기도 남양주시 오남읍 경복대로 95,경기도 남양주시 오남읍 양지리 244-1,37.71006937,127.2024107,031-590-2834,194.7,70,2.5톤미만3만원,"매km증가시1,000원","1일,7000원",031-590-4431,자동차관리과,2020-07-06,3990000,경기도 남양주시
오산시견인차관리사무소,경기도 오산시 청학로 98,경기도 오산시 궐동 94,37.1575168,127.0650798,031-8036-8702,960,20,"2.5톤미만 30,000원+2.5톤이상 6.5톤미만 40,000원+6.5톤이상 10톤미만 60,000원+10톤이상 80,000원",,기본30분 500원+10분당 200원,031-8036-6146,오산시 차량등록사업소,2020-07-01,4000000,경기도 오산시
인천광역시 부평구 견인차량보관소,인천광역시 부평구 경원대로 1337,인천광역시 부평구 부평동 319-35,37.49136473,126.7175304,032-509-9235,,49,2.5톤 미만 30000원 / 6.5톤 미만 35000원 / 6.5톤 이상 50000원,"1,000원(km증가시)",15분당 500원,1566-8578,부평구시설관리공단,2020-06-30,3540000,인천광역시 부평구
동구견인차량보관소,광주광역시 동구 제봉로 153-4,,35.15096312,126.9194163,062-608-8831,1290,41,"30,000원","5,000원",700원,062-608-2921,광주광역시 동구청,2020-07-01,3590000,광주광역시 동구
화성시 방치자동차 서부견인보관소,,경기도 화성시 남양읍 남양리 965-14,37.186724,126.797898,031-369-2668,2195,100,견인용역업체에 지급한 비용,없음,"6,000원(1일)",031-369-2668,화성시 교통지도과,2020-05-28,5530000,경기도 화성시
홍제견인차량보관소,서울특별시 서대문구 홍제내길 227,서울특별시 서대문구 홍제동 294-84,37.5908336952,126.9410087771,02-360-8542,852,39,"승용경형,승합경형,이륜자동차,화물특수2.5톤미만40000원 승용소형45000원 승용중형50000원 승용대형,승합소형,화물특수6.5톤미만60000원 승합중형,10톤미만80000원 승합대형,화물특수10톤이상140000원",,"기본 30분당 700원(승합중형,대형 30분당 1200원), 화물특수 30분당 1200원",02-360-8542,서울특별시 서대문구청,2020-07-08,3000000,서울특별시 종로구
의왕시 견인차량 보관소,경기도 의왕시 복지로 27,경기도 의왕시 내손동 626번지,37.3820353771,126.9751638253,031-8086-7442,540,25,"2.5톤 미만: 20,000원, 2.5톤 이상 ~ 6.5톤 미만: 25,000원, 6.5톤 이상: 40,000원","1km 당 1,000원, 1,400원, 2,500원","기본 30분 500원, 이후 10분당 200원",031-345-3322,경기도 의왕시 교통행정과,2020-07-09,4030000,경기도 의왕시
