교통약자이동지원센터명,소재지도로명주소,소재지지번주소,위도,경도,보유차량대수,보유차량종류,슬로프형휠체어차량대수,리프트형휠체어차량대수,예약접수전화번호,예약접수인터넷주소,앱서비스명,평일예약접수운영시작시각,평일예약접수운영종료시각,주말예약접수운영시작시각,주말예약접수운영종료시각,차량평일운행시작시각,차량평일운행종료시각,차량주말운행시작시각,차량주말운행종료시각,사전예약신청기간,차량이용제한사항,차량관내운행지역,차량관외운행지역,차량이용대상,차량이용요금,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
예천군장애인이동지원센터,경상북도 예천군 예천읍 대심1길 22,경상북도 예천군 예천읍 대심리 424-4,36.6496531,128.441199163,6,그랜드카니발 저상슬로프 차량,6,0,054-652-7179,없음,없음,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,24시간전,특별한 제한없음,예천군 관내 전지역,"대구,경북권 전지역","지체,뇌병변,시간,신장 1∼2급장애인 및 동반보호자","기본료 5km까지 1,200원, 5km초과시 200원/km, 톨게이트비,주차료 본인부담",경상북도 예천군,054-650-6251,2019-08-20,5230000,경상북도 예천군
부산광역시 특별교통총괄본부,"부산광역시 연제구 중앙대로1226번길 18, 2층(거제동, 금샘빌딩)",부산광역시 연제구 거제동 163-10,35.1978078,129.0799214,158,스타렉스+올뉴카니발+카운티+쏠라티,149,9,051-466-8800,http://www.duribal.co.kr/,즉시콜,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,없음,만취 후 이용시+화물 운송 목적+혼자 탑승이 불가능함에도 보호자를 동반하지 아니한 경우+요금을 지불하지 않는 경우+복지카드 또는 의사소견서 제시를 거부할 경우+상담원 및 운전원에게 욕설 폭언 폭행하는 경우+특별교통수단의 기물을 손괴하는 경우,부산광역시 전지역,김해+양산+창원,중증장애 1~2급+일시적 휠체어이용자(의사소견서 제시)+65세이상 휠체어이용자+교통약자를 동반하는 가족 또는 보호자,기본요금 5km 1800원+이후요금 422m 102초당 100원 추가+시외운행시 시계외할증 20+유료도로 통행료 이용자 부담,부산광역시,051-888-3994,2019-08-01,6260000,부산광역시
고창군교통약자이동지원센터,전라북도 고창군 고창읍 월곡14길 19,전라북도 고창군 고창읍 월곡리 620,35.43754514,126.7129638,6,승합차,5,1,063-561-2338,http://,,09:00,18:00,00:00,00:00,08:00,21:00,00:00,00:00,1일전,,전지역,전라북도,1~2급 장애인,일반택시요금의 50,고창군청,063-560-2572,2019-06-20,4780000,전라북도 고창군
전남지체장애인협회 곡성군지회,전라남도 곡성군 곡성읍 읍내14길 12-1,전라남도 곡성군 곡성읍 읍내리 261-12,35.2804361167,127.296281126,2,카니발,2,0,1899-1110,해당없음,,09:00,18:00,00:00,00:00,09:00,18:00,00:00,00:00,하루 전,전차량 운행 시,곡성군 전지역,"전남 전지역, 광주광역시, 전북 남원","1, 2급 장애인, 65세 이상, 임산부 및 동반 보호자 등","관내 : 2km까지 700원, 이후 146m당 32원관외 : 시외버스 요금의 1.5배",곡성군 민원과 교통행정팀,061-360-8356,2019-06-27,4860000,전라남도 곡성군
여수시교통약자이동지원센터,전라남도 여수시 성산로 46(화장동),전라남도 여수시 화장동 761-3,34.774271,127.6426203,20,카니발,15,5,1899-1110,없음,없음,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,없음,없음,여수시,광주광역시+전남전지역,1~2급 장애인으로서 버스 이용이 어려운 자+2급 이상의 상이등급에 해당하는 자로서 버스 이용이 어려운 자,기본요금 2km까지 700원+이후요금 164m당 30원+시간요금 39초당 30원,여수시,061-659-4129,2019-06-26,4810000,전라남도 여수시
목포시 교통약자이동지원센터,전라남도 목포시 영산로 350-3,전라남도 목포시 용당동 993-10,34.8054756,126.4044616,14,카니발+스타렉스,0,14,1899-1110,http://www.mokpo.go.kr/,,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,시외 경우 전일,,전지역,신안을 제외한 전라남도,"1급 2급 장애인인 + 중복상급 3급=65세 이상 고령자, 임산부, 일시적 휠체어 이용자로서 대중교통수단의 이용이 어려운자+ 교통약자를 동반하는 가족 및 보호자 2인 이내","기본요금 1,000원(",목포시,061-270-3328,2019-06-27,4800000,전라남도 목포시
강원도교통약자광역이동지원센터,강원도 춘천시 중앙로1,강원도 춘천시 봉의동 15,37.8855687,127.7301849,2,카니발,2,2,1577-2014,http://call.gwd.go.kr/main.do,,09:00,18:00,09:00,18:00,09:00,18:00,00:00,00:00,7일,관외는 병원목적,태백시,강원도,1. 「장애인복지법 시행규칙」제2조제1항에 따라 제1급 또는 제2급 장애인으로서 버스 등의 이용이 어려운 자 <개정 2013.07.05>2. 65세 이상의 자로서 버스 등의 이용이 어려운 자3. 일시적으로 휠체어를 이용하는 자로서 버스 등의 이용이 어려운 자4. 제1호부터 제3호까지 해당하는 교통약자를 동반하는 가족 및 보호자5. 그 밖에 특별교통수단이 필요하다고 인정되는 사람,1. 관내요금은 「여객자동차 운수사업법 시행령」제3조제2호다목에 따른 일반택시요금의 100분의 50에 해당하는 금액 이하로 한다.2. 관외요금은 해당구간의 시외버스요금의 2배를 초과할 수 없다.,태백시청,033-550-2104,2019-06-19,4220000,강원도 태백시
경상북도특별교통수단상주시부름콜센터,경상북도 상주시 상산로 506,경상북도 상주시 만산동 212-3번지,36.436037,128.157310,9,카니발+스타렉스,0,9,1899-7770,없음,없음,08:00,18:00,09:00,18:00,07:00,22:00,07:00,18:00,7일,운행방해+욕설3회시 한달 정지+예약위반 3회시 한달 정지+요금미납 3회시 한달 정지+운행1시간 이내로 취소 3회시 한달 정지,상주시 전지역,"상주시 인접 시군, 전국(병원목적에 한함)",관내 중증장애인 1~2급+임산부+65세이상노약자+일시적 장애인,"5km 기본요금 1,100원+추가 1km당 200원(시계외 동일)",상주시 교통에너지과,054-537-7378,2019-05-27,5110000,경상북도 상주시
군포시 교통약자 이동지원센터,경기도 군포시 번영로 407,경기도 군포시 산본동 1153번지,37.352944,126.925695,18,그랜드카니발,18,0,1899-4428,없음,없음,08:00,18:00,00:00,00:00,00:00,23:59,00:00,23:59,2일전,복지카드(신분증)등 증빙서의 제시 또는 관련 서류의 제출을 거부한 경우실제 탑승인과 복지카드(신분증) 및 증빙서의 이용 대상자가 다를 경우보호자 없이 탑승 시 안전상의 문제가 발생할 수 있다고 판단되는 경우기타 이에 준하는 상황이 발생하여 운행할 수 없다고 판단하는 경우,"서울, 경기, 인천","서울, 경기, 인천",장애인 : 1~3급 복지카드를 소지한 시민고령자 : 노인장기요양 전체 등급으로 노인장기요양인정서를 소지한 시민임산부 : 임신 5개월 이상으로 산모수첩을 소지한 시민,"10km 1,200원",군포시시설관리공단,1899-4428,2019-05-23,4020000,경기도 군포시
구리시 교통약자 이동지원센터,경기도 구리시 안골로 40,경기도 구리시 교문동 736-3,37.597039,127.135518,15,카니발,15,0,1577-3659,www.gurihappycall.or.kr,구리시 행복콜,09:00,18:00,00:00,00:00,07:00,22:00,09:00,18:00,2일,"요금 체납 또는 증빙서류 미 제시 또는 부정 이용자, 폭행/폭언 행사할 경우 1일(당일) 제한",구리시 전지역,"서울,인천,경기도",장애1~2급 중 대중교통 이용 어려운 사람+65세 이상(진단서 등 증빙 첨부) 중 대중교통 이용 어려운 사람+교통약자 동반하는 보호자 2명이내,"기본요금 10Km이내 1,200원,  10Km 초과 1Km당 200원",구리시청,031-550-2703,2019-04-26,3980000,경기도 구리시
세종누리콜,세종특별자치시 연서면 아홉거리길 100,세종특별자치시 연서면 월하리 948-8,36.593688,127.283869,13,카니발+스타렉스,1,12,1899-9042,없음,없음,09:00,18:00,09:00,18:00,06:00,24:00,06:00,24:00,1~2일,신청접수 일요일 불가능,관내,"천안시, 대전시, 청주시(의료시설 이용시)","장애인복지법시행규직 제2조 제1항에 따른 1급 또는 3급 장애인, 65세 이상 노인으로 노인요양등급 1등급~3등급 판정을 받은 사람, 영유아 동반 및 임산부는 의료기관에서 버스, 지하철 등의 이용이 어렵다는 증빙서류를 제출한 사람, 교통약자를 동반하는 가족 및 보호자","기본요금1000원(기본거리:3km)+기본초과 1km당 200원+고속도로 및 유료도로 통행료, 주차료는 이용자부담",세종특별자치시,044-300-5517,2018-12-19,5690000,세종특별자치시
사단법인한국시각장애인연합회영월지회,강원도 영월군 영월읍 단종로 21,강원도 영월군 영월읍 영흥리 959-27,37.185347,128.467917,4,창림저상슬로프장애인차,4,0,1577-2014,해당없음,,00:00,24:00,00:00,24:00,07:00,22:00,09:00,18:00,일주일~1일전,예약취소 없이 3회 무단 불이용 시 또는 차량 도착 시 요청장소에 3회 무단 부재 시 한달간 이용 정지,영월군 전지역,강원도+제천+단양,"휠체어 이용 1, 2급 장애인+그 외 이용자(진단서 첨부)","4km 기본 1,100원, 이후 1km 당 100원",강원도 영월군,033-370-2356,2018-08-31,4270000,강원도 영월군
강원도지체장애인협회 고성군지회,강원도 고성군 죽왕면 동해대로 6520,강원도 고성군 죽왕면 가진리 299-19,38.378211,128.498592,3,승합 중형,3,0,1577-2014,http://call.gwd.go.kr/main.do,,09:00,18:00,09:00,18:00,09:00,18:00,00:00,00:00,0,,고성군 일원,당일 왕복 가능지역,"? 1,2급 장애인 및 3급 장애인 중 뇌병변, 시각, 지적, 자폐, 하지에 장애가 있는 지체 장애인? 65세 이상의 사람으로서 대중교통 이용이 어려운 사람(75세 이상의 고령자)? 임산부 및 일시적 장애로 거동이 어려운 사람, 혼자서 외출과 이동이 곤란하여 특별교통수단이 필요하다고 인정되는 사람? 교통약자를 동반하는 가족 및 보호자","운행요금 : 4km까지 1,400원 / 4km초과 시 1km마다 100원대기료 : 최초1시간 무료, 초과 30분 당 1,000원",강원도 고성군청,033-680-3023,2018-08-20,4340000,강원도 고성군
진천군 교통약자이동지원센터,충청북도 진천군 진천읍 중앙북1길 11-10,충청북도 진천군 진천읍 벽암리 570-1,36.8610976,127.439492,4,스타렉스2+카니발2,2,2,043-534-5758,인터넷 예약 안됨,,07:00,19:00,00:00,00:00,07:00,19:00,09:00,18:00,5일,,,,"1급, 2급, 3급 장애인65세이상인 자로써 대중교통의 이용이 어려운자임산부 또는 일시적 장애로 거동이 어려운자","5km까지 2,000원(초과시 1km당 360원)",진천군,043-539-3725,2018-07-16,4450000,충청북도 진천군
동해시교통약자이동지원센터,강원도 동해시 한섬로 28-22,강원도 동해시 천곡동 376-17,37.5193584,129.1080669,6,카니발,4,2,1577-2014,1577-2014 콜센터로 접수,즉시콜,07:00,18:00,07:00,18:00,07:00,23:59,07:00,23:59,7일,-,동해시,강원도내,"1~2급 장애인으로 대중교통 이용이 어려운자, 65세이상, 임산부, 일시적 휠체어 이용자로 대중교통 이용이 어려운자 등","기본 4km까지 관내,관외 1,100원, 4km 초과부터 km당 100원 추가, 관외이동 시 대기료 1시간까지 무료, 초과 시 30분 당 2,000원",강원도 동해시,033-530-2211,2019-09-10,4210000,강원도 동해시
김천시교통약자이동지원센터,경상북도 김천시 환경로 105,경상북도 김천시 신음동 46-1,36.1317700,128.137664843,7,스타렉스 3대카니발 4대,7,0,1899-7770,없음,없음,09:00,18:00,00:00,00:00,08:00,20:00,08:00,20:00,7일전,없음,김천시,"경상북도 및 대구광역시, 김천시와 연접한 시.군","장애의 정도가 심한 장애인, 의사진단서 첨부 대상자(대중교통이 어렵다는 진단서)",기본운임(2km) : 1400원2Km~10km : km당 300원10km이상 : km당 100원시외 : 시외버스 요금의 2배,김천시,054-420-6688,2019-09-16,5060000,경상북도 김천시
이지콜센터,전라북도 전주시 덕진구 기린대로 451 종합경기장내,전라북도 전주시 덕진구 덕진동1가 1220-1,35.8382206,127.1251620,45,카니발+스타렉스,43,2,063-271-2727,https://easy.jjss.or.kr,예약콜,07:00,22:00,07:00,22:00,00:00,23:59,00:00,23:59,7일,현장취소및 1시간이내취소 월2회 2개월+명의동용및제공 6개월+10분이내미승차 월3회 1개월+임의이용(신청없이) 1개월,전주시내,전라북도내 및 전국,"장애1, 2급+3급휠체어사용자+일시적사용자(소견서제출)+임산부(소견서제출)+교통약자동반가족 1명","기본 5㎞ 1,500원 1㎞당100원+전국 5㎞ 1,500원(전주시내) 1㎞당150원(대기료 시간/10,000원, 통행료 주차료 등 본인부담)",전주시설공단,063-281-2542,2019-08-30,4640000,전라북도 전주시
천안시 교통약자이동지원센터,충청남도 천안시 동남구 다가말2길 104 일봉회관 5층,충청남도 천안시 동남구 다가동 405-6,36.797916,127.143586,28,카니발+스타렉스,28,0,041-552-0078,http://www.cheonan.go.kr,,7:00,0:00,7:00,0:00,7:00,0:00,7:00,0:00,즉시콜,"1. 이용고객의 차량을 예약하고 비장애인만 승차 시키는 경우2. 장애등급을 허위 고지하여 우선배차를 받는 등 부정 탑승 행위를 한 경우 3. 운전에 방해를 줄 수 있는 고객 탑승 시 보호자가 동승하지 않는 경우4. 교통약자를 위한 보호자의 동반 탑승은 최초 탑승 시부터 최종 목적지까지 같이 동승하여 타고 내려야 하며, 중도에 보호자만 개별적으로 타고 내리는 경우5. 장애인 보조견을 제외한 운전에 방해를 줄 수 있는 애완동물 및 폭발성, 인화성 ",천안시내권,없음,1. 「교통약자의 이동편의 증진법 시행규칙」 제6조제1항 각 호의 사람 2. 임신부 3. 일시적으로 보행상 장애가 있는 사람,"기본요금 1,000원(2㎞), 거리할증 100원(500m)",충청남도 천안시,041-521-5634,2019-09-10,4490000,충청남도 천안시
아산시 교통약자이동지원센터(장애인콜택시),충청남도 아산시 시민로 457번길31 동우빌딩 2층,충청남도 아산시 온천동 1411,36.788693,126.998424,18,승합,13,5,041-546-1503,해당없음,해당없음,07:00,21:00,07:00,21:00,07:00,21:00,07:00,21:00,해당없음,"장애인(3급 하지장애 외, 4급~), 65세이상 대중교통이용 가능한자",아산시 관내,천안시 일부,"1, 2급 장애인, 3급 장애인(3, 4호 하지장애), 만65세이상 노약자 중 대중교통 이용이 어려운자","기본요금 700원(2km까지), 추가요금 100원(383m당, 100초당)",아산장애인단체연합회,041-540-1506,2019-09-10,4520000,충청남도 아산시
부천시교통약자이동지원센터,경기도 부천시 석천로 293,경기도 부천시 중동 1024,37.5134242947,126.763166198,53,"승합차, 버스",53,0,1588-3815,http://www.best.or.kr/subpage/index/215,해당없음,07:00,15:00,07:00,15:00,00:00,00:00,00:00,00:00,07:00 ~15:00(관외이용시),"정당한 요금을 지불하지 않는 경우,  상담원 및 운전원에게 욕설이나 폭행을 하는 경우, 이동지원센터 및 특별교통수단의 기물을 손괴한 경우, 이용대상자가 아닌 사람을 부정하게 이용할 수 있도록 협조한 경우",전지역,"서울, 인천, 김포, 고양, 광명, 시흥시","1,2급 등록장애인","1,000원",부천도시공사,032-625-9401,2019-09-10,3860000,경기도 부천시
장애인희망콜,전라북도 완주군 봉동읍 봉동동서로 89,전라북도 완주군 봉동읍 장기리 285-5,35.9372283,127.162226,10,스타렉스+카니발,10,0,063-261-7119,http://www.wanju.go.kr,,08:00,20:00,09:00,18:00,08:00,20:00,09:00,18:00,1일전부터7일전,"무단취소3회이상,음주자,폭언,폭행,기타운전방해자",완주군전지역,전북도내,"장애1급~3급,65세이상거동이불편한노약자,일시휠체어이용자","기본2km까지1400원, 이후494m당100원, 43초당 100원",완주군청,063-290-2803,2019-09-09,4720000,전라북도 완주군
보령시도로교통과,충청남도 보령시 주공로 8,충청남도 보령시 명천동 1037,36.3453768,126.6020154,9,카니발,6,3,041-935-3317,없음,없음,08:00,19:00,09:00,18:00,08:00,19:00,09:00,18:00,없음,없음,보령시,서울천안익산 등,1~2급 장애인으로서 버스 이용이 어려운 자+2급 이상의 상이등급에 해당하는 자로서 버스 이용이 어려운 자,"기본요금 2km까지 1,000원+이후요금 160m당 60원",보령시,041-930-3963,2019-09-06,4510000,충청남도 보령시
경상남도특별교통수단콜센터,경상남도 창원시 의창구 우곡로 209(명서동),경상남도 창원시 의창구 명서동 209-3,35.2396723,128.6475949,327,"스타렉스, 카니발",186,141,1566-4488,없음,,21:00,23:59,21:00,23:59,00:00,23:59,00:00,23:59,1일,,관내,경남 전역,1~2급+65세 이상 노약자+임산부,관내 시내버스요금의 2배 이내,경상남도,055-211-4385,2019-05-31,6480000,경상남도
강원도 교통약자 광역이동지원센터,강원도 춘천시 봉의동 중앙로1,강원도 춘천시 봉의동 15,37.8855687,127.7301849,23,카니발+스타렉스,16,7,1577-2014,http://call.gwd.go.kr,강원도 광역 교통약자,23:59,23:59,23:59,23:59,23:59,23:59,23:59,23:59,이용 하루전(관외이용시)관외 병원이용시 일주일전부터 예약가능,휠체어 미사용자 이용 불가능,원주시내,"강원도 전역, 병원, 관공서 서울대병원 등","1,2급 장애인, 65세이상, 일시적 휠체어 이용자","4km까지 기본 1,100원",원주개인택시조합 복지사업부,033-735-7982,2019-05-27,4190000,강원도 원주시
김포시 교통약자 이동지원센터,경기도 김포시 금포로 1127,경기도 김포시 운양동 5-6,37.6468987168,126.7047807,32,그랜드카니발R,32,0,1899-2008,없음,,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,0,대기시간 15분 초과 회차 발생 + 차량 도착 후 15분 이내에 미승차 월 3회 이상 +  상담원 상담 및 신청 방해 + 장난전화 3회 이상인 경우 + 이용예정시각 1시간 이내 취소한 경우가 월 3회 등,관내 전체,경기도 + 서울시 +인천시,"1, 2급 등록 장애인(명부에 등재된 장애인 신분확인 후 이용가능) +65세이상 고령자로 대중교통 이용이 어려운 사람(이용대상자 심사 및 승인 후 이용가능 - 대중교통 이용불편 진단서 첨부)","관내 1,000원, 관외 추가요금 100원/5km",김포시 시설관리공단,031-986-9484,2019-09-04,4090000,경기도 김포시
수원시교통약자이동지원센터,경기도 수원시 권선구 정조로 310,경기도 수원시 권선구 대황교통 253,37.237822,127.017271,90,카니발+스타렉스,88,2,031-253-5525,https://www.suwonudc.co.kr/swcall/PageLink.do,,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,7일,,,,중증장애1~3급+노인장기요양1~3급+국가유공자1~3급+교통약자를 동반하는 가족,"관내지역(수원)기본요금 1,250원+관외지역 기본요금1,250원외 5Km당 100원  추가+고속도로(유료도로)통행료는 이용자 부담",수원시,031-228-3323,2019-03-12,3740000,경기도 수원시
과천시교통약자이동지원센터,"경기도 과천시 문원로 40, 113호","경기도 과천시 문원동 31-3, 113호",37.4288073,127.0019934,4,카니발,4,0,02-502-9418,없음,없음,09:00,18:00,00:00,00:00,09:00,18:00,09:00,18:00,이용일자를 기준으로 7일전부터 1일전까지,-,과천시 전지역,"1,2차병원 및 병원이외목적 : 인접 시·군 지역(과천시청기준 반경15Km이내)  , 3차병원,환승목적 : 서울, 경기","보행상장애인기준표상 심한 정도, 65세 이상 노인장기요양 1~3급, 임산부(임산부수첩), 그외 대중교통이용이 어렵다고 증빙자료를 제출한 장애인, 고령자",유료도로 통행료 및 주차요금은 이용자 부담,경기도_과천시,02-3677-2282,2019-07-31,3970000,경기도 과천시
포항시교통약자이동지원센터,경상북도 포항시 남구 희망대로 810 포항종합운동장 167호,경상북도 포항시 남구 대도동 313-1번지 167호,36.008952,129.363876,30,카니발,30,0,1800-9300,http://phhpcall.phsisul.org/,동행콜,07:00,22:00,08:00,20:00,00:00,23:59,08:00,20:00,5일,,포항시,경상북도+대구광역시,장애정도가 심한 장애인으로서 대중교통 이용이 어려운 사람+65세 이상으로 대중교통 이용이 어려운 사람+일시적으로 휠체어를 이용하는 사람으로서 대중교통 이용이 어려운 사람,"관내(포항시내) 기본 5km 1,100원, 추가요금 200원/km, 한도 5,000원+관외(포항시외) 시외버스 요금의 2배(편도기준)+대기료 500원/30분(관외 병원진료 기본대기 2시간 허용)+유료도로비용 및 주차요금은 이용자 부담",포항시시설관리공단,054-280-9601,2019-08-20,5020000,경상북도 포항시
교통약자이동지원센터,전라남도 순천시 용당둑길 127,전라남도 순천시 조곡동 666-1,34.9602261,127.4895347,16,그랜드카니발,16,0,061-751-8181,-,-,00:00,00:00,00:00,00:00,05:00,05:00,08:00,05:00,-,,순천시 일원,"광주, 전남권",① 1급 또는 2급 장애인으로서 버스 등의 이용이 어려운  분    ② 65세 이상의 어르신으로 버스 등의 이용이 어려운 분    ③ 상이등급 2급 이상의 상이등급에 해당하는 분    ④ 사고?질병 등으로 인한 일시적 장애로 버스 등의 이용이 어려운 분    ⑤ ①항에서④항 까지 해당되는 분을 동반하는 가족 및 보호자,"? 일반 택시요금의 30이하 범위 금액 적용       - 기본(2.1km) 700원, 거리(547m당)  100원      ※ 택시요금 : 기본(2km) 2,800원, 거리(146m당)  100원",순천시 교통과,061-749-5902,2019-08-30,4820000,전라남도 순천시
광주희망콜,경기도 광주시 초월읍 경수길 11,경기도 광주시 초월읍 지월리 729-23,37.4199723189,127.2854637365,24,카니발+스타렉스,19,5,1666-6636,http://www.gjhpcall.or.kr,광주시 교통약자,09:00,18:00,08:00,21:00,07:00,22:00,08:00,21:00,"1.2급장애인, 휠체어 2일전 + 기타 1일전","이용자 준수사항 월 3회위반시 30일 이용정지 + 관외지역 병원, 치료목적외 불가",광주시 전지역,서울 + 경기,"1.2급 장애인 + 휠체어 이용자 + 65세이상 노인, 임산부 등 대중교통이 어려운 사람","10km이내 1,200원 + 추가 5km당 500원 + 대기료 1시간 1,000원 + 기타(통행료,주차비 등)",경기도 광주시청,031-760-2120,2020-04-07,5540000,경기도 광주시
경북지체장애인협회 봉화군지회,경상북도 봉화군 봉화읍 내성천2길 93,경상북도 봉화군 봉화읍 내성리 361-1,36.8936576196,128.737331,2,카니발,2,0,054-673-4747,없음,,09:00,18:00,00:00,00:00,09:00,18:00,00:00,00:00,7일,비장애인만 승차하는 경우+주말 차량운행 안함,봉화군 전지역,경상북도+대구광역시+태백시,중증장애1~2급+재가등급+만65세이상노약자(의사소견서첨부)+임산부,"10km 1,000원+10km초과 시 km당 200원 추가+고속도로(유로도로) 통행료는 이용자 부담",경상북도 봉화군청,054-679-6292,2020-04-07,5240000,경상북도 봉화군
