역번호,역사명,노선번호,노선명,영문역사명,한자역사명,환승역구분,환승노선번호,환승노선명,역위도,역경도,운영기관명,역사도로명주소,역사전화번호,데이터기준일자,제공기관코드,제공기관명
137,아양교,S2701,대구 도시철도 1호선,Ayanggyo,峨洋橋,일반역,,,35.887162,128.6375663,대구광역시 대구도시철도공사,대구광역시 동구 아양로 지하245 (신암동),053-942-7724,2019-12-19,B552109,대구도시철도공사
136,동구청,S2701,대구 도시철도 1호선,Dong-gu Office,東區廳,일반역,,,35.8838366,128.6316231,대구광역시 대구도시철도공사,대구광역시 동구 신암남로 지하169 (신암동),053-942-7721,2019-12-19,B552109,대구도시철도공사
135,동대구,S2701,대구 도시철도 1호선,Dongdaegu sta.,東大邱驛,일반역,,,35.877303,128.627513,대구광역시 대구도시철도공사,대구광역시 동구 동대구로 지하530 (신천동),053-742-7787,2019-12-19,B552109,대구도시철도공사
134,신천,S2701,대구 도시철도 1호선,Sincheon,新川,일반역,,,37.511624,127.083391,대구광역시 대구도시철도공사,대구광역시 동구 동부로 지하41 (신천동),053-756-7706,2019-12-19,B552109,대구도시철도공사
133,칠성시장,S2701,대구 도시철도 1호선,Chilseong Market,七星市場,일반역,,,35.876141,128.602971,대구광역시 대구도시철도공사,대구광역시 북구 칠성남로 지하222 (칠성동),053-427-7751,2019-12-19,B552109,대구도시철도공사
132,대구,S2701,대구 도시철도 1호선,Daegu sta.,大邱驛,일반역,,,35.8763691,128.5884861,대구광역시 대구도시철도공사,대구광역시 북구 칠성남로30길 지하24 (칠성동),053-426-7797,2019-12-19,B552109,대구도시철도공사
131,중앙로,S2701,대구 도시철도 1호선,Jungangno,中央路,일반역,,,35.870913,128.591799,대구광역시 대구도시철도공사,대구광역시 중구 중앙대로 지하424 (남일동),053-256-7746,2019-12-19,B552109,대구도시철도공사
130,반월당,S2701,대구 도시철도 1호선,Banwoldang,半月堂,환승역,S2701+S2702,대구 도시철도 1호선 + 대구 도시철도 2호선,35.864678,128.591147,대구광역시 대구도시철도공사,대구광역시 중구 달구벌대로 지하2100 (덕산동),053-255-7735,2019-12-19,B552109,대구도시철도공사
129,명덕,S2701,대구 도시철도 1호선,Myeongdeok,明德,환승역,S2701+S2703,대구 도시철도 1호선 + 대구 도시철도 3호선,35.8580257,128.5824361,대구광역시 대구도시철도공사,대구광역시 중구 명덕로 지하185 (남산동),053-255-7723,2019-12-19,B552109,대구도시철도공사
128,교대,S2701,대구 도시철도 1호선,Univ. of Educ,敎大,일반역,,,35.851106,128.588432,대구광역시 대구도시철도공사,대구광역시 남구 중앙대로 지하194 (대명동),053-473-7702,2019-12-19,B552109,대구도시철도공사
327,달성공원,S2703,대구 도시철도 3호선,Dalseong Park,達城公園,일반역,,,35.875779,128.5820904,대구광역시 대구도시철도공사,대구광역시 중구 달성로 116(수창동),053-640-7521,2019-12-19,B552109,대구도시철도공사
326,북구청,S2703,대구 도시철도 3호선,Buk-gu Office,北區廳,일반역,,,35.8838928,128.5814795,대구광역시 대구도시철도공사,대구광역시 서구 원대로 71(원대동2가),053-640-7521,2019-12-19,B552109,대구도시철도공사
325,원 대,S2703,대구 도시철도 3호선,Wondae,院垈,일반역,,,35.8878671,128.5742706,대구광역시 대구도시철도공사,대구광역시 서구 팔달로 224-2(원대동3가),053-640-7521,2019-12-19,B552109,대구도시철도공사
324,팔달시장,S2703,대구 도시철도 3호선,Paldal Market,八達市場,일반역,,,35.8888598,128.567844,대구광역시 대구도시철도공사,대구광역시 북구 팔달로 163-1(노원동3가),053-640-7521,2019-12-19,B552109,대구도시철도공사
323,만 평,S2703,대구 도시철도 3호선,Manpyeong,萬坪,일반역,,,35.8898678,128.561021,대구광역시 대구도시철도공사,대구광역시 북구 팔달로 105(노원동3가),053-640-7431,2019-12-19,B552109,대구도시철도공사
322,공 단,S2703,대구 도시철도 3호선,Gongdan,工團,일반역,,,35.8919855,128.5536204,대구광역시 대구도시철도공사,대구광역시 북구 팔달로 28(비산동),053-640-7431,2019-12-19,B552109,대구도시철도공사
321,팔 달,S2703,대구 도시철도 3호선,Paldal,八達,일반역,,,35.8978498,128.5467575,대구광역시 대구도시철도공사,대구광역시 북구 매천로2길 43(팔달동),053-640-7431,2019-12-19,B552109,대구도시철도공사
320,매천시장,S2703,대구 도시철도 3호선,Maecheon Market,梅川市場,일반역,,,35.9044626,128.5457614,대구광역시 대구도시철도공사,대구광역시 북구 매천로 18길 39(매천동),053-640-7431,2019-12-19,B552109,대구도시철도공사
319,매 천,S2703,대구 도시철도 3호선,Maecheon,梅川,일반역,,,35.9127328,128.5433793,대구광역시 대구도시철도공사,대구광역시 북구 학정로 6(매천동),053-640-7431,2019-12-19,B552109,대구도시철도공사
318,태 전,S2703,대구 도시철도 3호선,Taejeon,太田,일반역,,,35.9197078,128.5474952,대구광역시 대구도시철도공사,대구광역시 북구 칠곡중앙대로 262(태전동),053-640-7431,2019-12-19,B552109,대구도시철도공사
317,구 암,S2703,대구 도시철도 3호선,Guam,鳩岩,일반역,,,35.9257608,128.5504075,대구광역시 대구도시철도공사,대구광역시 북구 팔거천동로 1(구암동),053-640-7381,2019-12-19,B552109,대구도시철도공사
316,칠곡운암,S2703,대구 도시철도 3호선,Chilgok·Unam,漆谷雲岩,일반역,,,35.9314868,128.5545711,대구광역시 대구도시철도공사,대구광역시 북구 팔거천동로 79(구암동),053-640-7381,2019-12-19,B552109,대구도시철도공사
315,동 천,S2703,대구 도시철도 3호선,Dongcheon,東川,일반역,,,35.9377071,128.5566602,대구광역시 대구도시철도공사,대구광역시 북구 팔거천동로 147(동천동),053-640-7381,2019-12-19,B552109,대구도시철도공사
314,팔 거,S2703,대구 도시철도 3호선,Palgeo,八?,일반역,,,35.944126,128.5583539,대구광역시 대구도시철도공사,대구광역시 북구 팔거천동로 226(동천동),053-640-7381,2019-12-19,B552109,대구도시철도공사
313,학 정,S2703,대구 도시철도 3호선,Hakjeong,鶴亭,일반역,,,35.951577,128.5591956,대구광역시 대구도시철도공사,대구광역시 북구 팔거천동로 310(학정동),053-640-7381,2019-12-19,B552109,대구도시철도공사
312,칠곡경대병원,S2703,대구 도시철도 3호선,Chilgok Kyungpook Nat‘l Univ. Medical Center,漆谷 慶大病院,일반역,,,35.9583939,128.5599142,대구광역시 대구도시철도공사,대구광역시 북구 팔거천동로 386(동호동),053-640-7381,2019-12-19,B552109,대구도시철도공사
244,영남대,S2702,대구 도시철도 2호선,Yeungnam University,嶺南大,일반역,,,35.8363683,128.7507913,대구광역시 대구도시철도공사,경상북도 경산시 대학로 지하270(대동),053-801-3785,2019-12-19,B552109,대구도시철도공사
243,임당,S2702,대구 도시철도 2호선,Imdang,林堂,일반역,,,35.8343906,128.7408599,대구광역시 대구도시철도공사,경상북도 경산시 대학로 지하170(중방동),053-811-0732,2019-12-19,B552109,대구도시철도공사
242,정평,S2702,대구 도시철도 2호선,Jeongpyeong,正坪,일반역,,,35.8340843,128.7264743,대구광역시 대구도시철도공사,경상북도 경산시 대학로 지하60(정평동),053-811-4753,2019-12-19,B552109,대구도시철도공사
241,사월,S2702,대구 도시철도 2호선,Sawol,沙月,일반역,,,35.8369933,128.7134473,대구광역시 대구도시철도공사,대구광역시 수성구 달구벌대로 지하3290 (신매동),053-795-0767,2019-12-19,B552109,대구도시철도공사
240,신매,S2702,대구 도시철도 2호선,Sinmae,新梅,일반역,,,35.8408467,128.7045286,대구광역시 대구도시철도공사,대구광역시 수성구 달구벌대로 지하3180 (매호동),053-791-0898,2019-12-19,B552109,대구도시철도공사
239,고산,S2702,대구 도시철도 2호선,Gosan,孤山,일반역,,,35.8428892,128.6928426,대구광역시 대구도시철도공사,대구광역시 수성구 달구벌대로 지하3080 (시지동),053-791-0858,2019-12-19,B552109,대구도시철도공사
238,대공원,S2702,대구 도시철도 2호선,Daegongwon(Grand Park),大公園,일반역,,,35.8426754,128.6797386,대구광역시 대구도시철도공사,대구광역시 수성구 달구벌대로 지하2950 (연호동),053-791-0881,2019-12-19,B552109,대구도시철도공사
237,연호,S2702,대구 도시철도 2호선,Yeonho,蓮湖,일반역,,,35.8463606,128.6712747,대구광역시 대구도시철도공사,대구광역시 수성구 달구벌대로 지하2870 (연호동),053-791-0922,2019-12-19,B552109,대구도시철도공사
236,담티,S2702,대구 도시철도 2호선,Damti,(壽城大.大倫),일반역,,,35.8548283,128.6517483,대구광역시 대구도시철도공사,대구광역시 수성구 달구벌대로 지하2672 (만촌동),053-752-0959,2019-12-19,B552109,대구도시철도공사
235,만촌,S2702,대구 도시철도 2호선,Manchon,晩村,일반역,,,35.8580984,128.6429934,대구광역시 대구도시철도공사,대구광역시 수성구 달구벌대로 지하2584 (만촌동),053-751-0287,2019-12-19,B552109,대구도시철도공사
234,수성구청,S2702,대구 도시철도 2호선,Suseong-gu Office,壽城區廳,일반역,,,35.8585726,128.6360776,대구광역시 대구도시철도공사,대구광역시 수성구 달구벌대로 지하2500 (범어동),053-756-7822,2019-12-19,B552109,대구도시철도공사
233,범어,S2702,대구 도시철도 2호선,Beomeo,泛魚,일반역,,,35.8590259,128.6238385,대구광역시 대구도시철도공사,대구광역시 수성구 달구벌대로 지하2396 (범어동),053-756-9376,2019-12-19,B552109,대구도시철도공사
232,대구은행,S2702,대구 도시철도 2호선,Daegu Bank,大邱銀行,일반역,,,35.859777,128.614091,대구광역시 대구도시철도공사,대구광역시 수성구 달구벌대로 지하2300 (수성동),053-752-0206,2019-12-19,B552109,대구도시철도공사
231,경대병원,S2702,대구 도시철도 2호선,Kyung-dae hosp.,慶大病院,일반역,,,35.863183,128.602626,대구광역시 대구도시철도공사,대구광역시 중구 달구벌대로 지하2190 (삼덕동),053-427-0523,2019-12-19,B552109,대구도시철도공사
230,반월당,S2702,대구 도시철도 2호선,Banwoldang,半月堂,환승역,S2702+S2701,대구 도시철도 2호선 + 대구 도시철도 1호선,35.865513,128.593393,대구광역시 대구도시철도공사,대구광역시 중구 달구벌대로 지하2100 (덕산동),053-252-0689,2019-12-19,B552109,대구도시철도공사
229,청라언덕,S2702,대구 도시철도 2호선,Cheongna Hill,靑蘿坡,환승역,S2702+S2703,대구 도시철도 2호선 + 대구 도시철도 3호선,35.864875,128.582358,대구광역시 대구도시철도공사,대구광역시 중구 달구벌대로 지하2000 (동산동),053-256-7728,2019-12-19,B552109,대구도시철도공사
117,광주송정역,S2901,광주도시철도 1호선,Gwangju Songjeong Station,光州松汀站,일반역,,,35.137529,126.791488,광주광역시 도시철도공사,광주광역시 광산구 상무대로 지하 201-99(송정동),062-604-8570,2019-12-10,B551232,광주광역시도시철도공사
116,송정공원역,S2901,광주도시철도 1호선,Songjeong Park,松汀公園,일반역,,,35.143565,126.799245,광주광역시 도시철도공사,광주광역시 광산구 상무대로 지하 314-99(송정동),062-604-8560,2019-12-10,B551232,광주광역시도시철도공사
115,공항역,S2901,광주도시철도 1호선,Airport,空港,일반역,,,35.144179,126.8112104,광주광역시 도시철도공사,광주광역시 광산구 상무대로 지하 416-99(신촌동),062-604-8550,2019-12-10,B551232,광주광역시도시철도공사
114,김대중컨벤션센터(마륵)역,S2901,광주도시철도 1호선,KimDaejungConvention Center (Mareuk),馬勒,일반역,,,35.143214,126.841442,광주광역시 도시철도공사,광주광역시 서구 상무대로 지하 705(마륵동),062-604-8540,2019-12-10,B551232,광주광역시도시철도공사
113,상무역,S2901,광주도시철도 1호선,Sangmu,尙武,일반역,,,35.146784,126.848641,광주광역시 도시철도공사,광주광역시 서구 상무대로 지하 777(마륵동),062-604-8530,2019-12-10,B551232,광주광역시도시철도공사
112,운천역,S2901,광주도시철도 1호선,Uncheon,云泉,일반역,,,35.150486,126.858694,광주광역시 도시철도공사,광주광역시 서구 상무대로 지하 883(쌍촌동),062-604-8520,2019-12-10,B551232,광주광역시도시철도공사
111,쌍촌역,S2901,광주도시철도 1호선,Ssangchon,雙村,일반역,,,35.151793,126.869519,광주광역시 도시철도공사,광주광역시 서구 상무대로 지하 983(쌍촌동),062-604-8510,2019-12-10,B551232,광주광역시도시철도공사
110,화정역,S2901,광주도시철도 1호선,Hwajeong,花亭,일반역,,,35.150381,126.877698,광주광역시 도시철도공사,광주광역시 서구 상무대로 지하 1041(화정동),062-604-8500,2019-12-10,B551232,광주광역시도시철도공사
109,농성역,S2901,광주도시철도 1호선,Nongseong,農城,일반역,,,35.153563,126.883973,광주광역시 도시철도공사,광주광역시 서구 상무대로 지하 1123(농성동),062-604-8490,2019-12-10,B551232,광주광역시도시철도공사
108,돌고개역,S2901,광주도시철도 1호선,Dolgogae,해당사항 없음,일반역,,,35.152047,126.895637,광주광역시 도시철도공사,광주광역시 서구 경열로 지하 87(농성동),062-604-8480,2019-12-10,B551232,광주광역시도시철도공사
107,양동시장역,S2901,광주도시철도 1호선,Yangdong Market,良洞市場,일반역,,,35.154176,126.904489,광주광역시 도시철도공사,광주광역시 서구 경열로 지하 152(양동),062-604-8470,2019-12-10,B551232,광주광역시도시철도공사
106,금남로5가역,S2901,광주도시철도 1호선,Geumnamno 5(o)-ga,錦南路5街,일반역,,,35.1537137,126.910933,광주광역시 도시철도공사,광주광역시 북구 금남로 지하 138(북동),062-604-8460,2019-12-10,B551232,광주광역시도시철도공사
105,금남로4가역,S2901,광주도시철도 1호선,Geumnamno4(sa)-ga,錦南路4街,일반역,,,35.150976,126.914446,광주광역시 도시철도공사,광주광역시 동구 금남로 지하 210(금남로4가),062-604-8450,2019-12-10,B551232,광주광역시도시철도공사
104,문화전당역(구도청),S2901,광주도시철도 1호선,Culture Center(Formerly Provincial office),文化殿堂,일반역,,,35.144698,126.9196731,광주광역시 도시철도공사,광주광역시 동구 문화전당로 26번길 지하 7(광산동),062-604-8440,2019-12-10,B551232,광주광역시도시철도공사
103,남광주역,S2901,광주도시철도 1호선,Namgwangju,南光州,일반역,,,35.1478534,126.921807,광주광역시 도시철도공사,광주광역시 동구 제봉로 지하 14(학동),062-604-8430,2019-12-10,B551232,광주광역시도시철도공사
102,학동증심사입구역,S2901,광주도시철도 1호선,Hakdong Jeungsimsa,鶴洞ㆍ證心寺入口,일반역,,,35.133023,126.928382,광주광역시 도시철도공사,광주광역시 동구 남문로 지하 700(학동),062-604-8420,2019-12-10,B551232,광주광역시도시철도공사
101,소태역,S2901,광주도시철도 1호선,Sotae,所台,일반역,,,35.124108,126.932013,광주광역시 도시철도공사,광주광역시 동구 남문로 지하 587(소태동),062-604-8410,2019-12-10,B551232,광주광역시도시철도공사
100,녹동역,S2901,광주도시철도 1호선,Nokdong,鹿洞,일반역,,,35.107028,126.933932,광주광역시 도시철도공사,광주광역시 동구 녹동길 45(용산동),062-604-8410,2019-12-10,B551232,광주광역시도시철도공사
341,용 지,S2703,대구 도시철도 3호선,Yongji,龍池,일반역,,,35.8182735,128.6465169,대구광역시 대구도시철도공사,대구광역시 수성구 범안로 83(범물동),053-640-7611,2019-12-19,B552109,대구도시철도공사
340,범 물,S2703,대구 도시철도 3호선,Beommul,凡勿,일반역,,,35.8208443,128.6400962,대구광역시 대구도시철도공사,대구광역시 수성구 지범로 194(범물동),053-640-7611,2019-12-19,B552109,대구도시철도공사
339,지 산,S2703,대구 도시철도 3호선,Jisan,池山,일반역,,,35.8251707,128.631909,대구광역시 대구도시철도공사,대구광역시 수성구 지범로 100(지산동),053-640-7611,2019-12-19,B552109,대구도시철도공사
338,수성못,S2703,대구 도시철도 3호선,Suseongmot,없음,일반역,,,35.8313624,128.6231984,대구광역시 대구도시철도공사,대구광역시 수성구 동대구로 14(지산동),053-640-7611,2019-12-19,B552109,대구도시철도공사
337,황 금,S2703,대구 도시철도 3호선,Hwanggeum,黃金,일반역,,,35.8391104,128.6239718,대구광역시 대구도시철도공사,대구광역시 수성구 동대구로 100(두산동),053-640-7611,2019-12-19,B552109,대구도시철도공사
336,어린이회관,S2703,대구 도시철도 3호선,Children''s Hall,없음,일반역,,,35.8452121,128.6244688,대구광역시 대구도시철도공사,대구광역시 수성구 동대구로 166(황금동),053-640-7611,2019-12-19,B552109,대구도시철도공사
335,수성구민운동장,S2703,대구 도시철도 3호선,Suseong District Stadium,壽城區民運動場,일반역,,,35.852561,128.6250845,대구광역시 대구도시철도공사,대구광역시 수성구 동대구로 248(범어동),053-640-7581,2019-12-19,B552109,대구도시철도공사
334,수성시장,S2703,대구 도시철도 3호선,Suseong Market,壽城市場,일반역,,,35.8543308,128.6160342,대구광역시 대구도시철도공사,대구광역시 수성구 명덕로 420(수성동2가),053-640-7581,2019-12-19,B552109,대구도시철도공사
333,대봉교,S2703,대구 도시철도 3호선,Daebonggyo,大鳳橋,일반역,,,35.8550055,128.6063579,대구광역시 대구도시철도공사,대구광역시 남구 명덕로 330(이천동),053-640-7581,2019-12-19,B552109,대구도시철도공사
332,건들바위,S2703,대구 도시철도 3호선,Geondeulbawi,없음,일반역,,,35.8554168,128.599626,대구광역시 대구도시철도공사,대구광역시 남구 명덕로 260(이천동),053-640-7581,2019-12-19,B552109,대구도시철도공사
331,명 덕,S2703,대구 도시철도 3호선,Myeongdeok,明德,환승역,S2703+S2701,대구 도시철도 3호선 + 대구 도시철도 1호선,35.8569753,128.5900125,대구광역시 대구도시철도공사,대구광역시 남구 명덕로 186(대명동),053-640-7581,2019-12-19,B552109,대구도시철도공사
330,남 산,S2703,대구 도시철도 3호선,Namsan,南山,일반역,,,35.8566997,128.5833577,대구광역시 대구도시철도공사,대구광역시 중구 남산로 2(남산동),053-640-7581,2019-12-19,B552109,대구도시철도공사
329,청라언덕,S2703,대구 도시철도 3호선,Cheongna Hill,靑蘿坡,환승역,S2703+S2702,대구 도시철도 3호선 + 대구 도시철도 2호선,35.8642709,128.5823466,대구광역시 대구도시철도공사,대구광역시 중구 남산로 80(남산동),053-640-7521,2019-12-19,B552109,대구도시철도공사
328,서문시장,S2703,대구 도시철도 3호선,Seomun Market,西門市場,일반역,,,35.8697503,128.5822416,대구광역시 대구도시철도공사,대구광역시 중구 달성로 50(대신동),053-640-7521,2019-12-19,B552109,대구도시철도공사
119,평동역,S2901,광주도시철도 1호선,Pyeongdong,平洞,일반역,,,35.1245829,126.769586,광주광역시 도시철도공사,광주광역시 광산구 평동로 870(월전동),062-604-8590,2019-12-10,B551232,광주광역시도시철도공사
118,도산역,S2901,광주도시철도 1호선,Dosan,道山,일반역,,,35.131713,126.787942,광주광역시 도시철도공사,광주광역시 광산구 상무대로 지하 125-99(도산동),062-604-8580,2019-12-10,B551232,광주광역시도시철도공사
