산코드,산명,등산로순번,등산로명,등산로주요지점내용,등산로길이,등산로난이도명,등산로상행시간,등산로하행시간,등산로재질내용,등산로통제여부,등산로폐쇄여부,등산로위험구간내용,등산로추천여부,데이터기준일자,제공기관코드,제공기관명
457402601,장안산,3,지소골 ~ 장안산 정상,,3,쉬움,,,,,,,,2020-07-09,4750000,전라북도 장수군
457402601,장안산,4,밀목재 ~ 장안산 정상,,9,중간,,,,,,,,2020-07-09,4750000,전라북도 장수군
457402601,장안산,5,범연동 ~ 장안산 정상,,5.5,쉬움,,,,,,,,2020-07-09,4750000,전라북도 장수군
457402601,장안산,6,연주 ~ 장안산 정상,,5.7,쉬움,,,,,,,,2020-07-09,4750000,전라북도 장수군
457402601,장안산,7,삼거마을 ~ 장안산 정상,,3.6,쉬움,,,,,,,,2020-07-09,4750000,전라북도 장수군
457403001,팔공산,1,자고개 ~ 팔공산 정상,"합미산성은 후백제 때 성에 주둔한 군사들이 군량미를 모았다 하여 붙여진 이름이지만, 그동안의 발굴조사 결과 삼국시대 가야유물 등이 확인되는 것으로 보아 처음 쌓아진시기는 삼국시대 가야에 의한 것으로 추정된다.",3.5,쉬움,,,,,,,,2020-07-09,4750000,전라북도 장수군
457403001,팔공산,2,대성리 ~ 팔공산 정상,,3.4,쉬움,,,,,,,,2020-07-09,4750000,전라북도 장수군
457403001,팔공산,3,서구이재 ~ 팔공산 정상,,2.9,쉬움,,,,,,,,2020-07-09,4750000,전라북도 장수군
457403301,봉화산(번암),1,주차장 ~ 철쭉군락지 ~ 봉화산 정상,"철쭉으로 유명한 산으로 5월 상순이 되면 산 능선과 바위 언덕 곳곳에 군락을 이룬 철쭉들이 만개한다. 정상에 오르면 멀리 북쪽으로 장안산과 남덕유산, 기백산 남쪽으로지리산의 봉우리들에서 연이어 철쭉이 펼쳐져 장관을 이룬다.",3.6,쉬움,,,,,,,,2020-07-09,4750000,전라북도 장수군
457403301,봉화산(번암),2,복성이재 ~ 철쭉군락지 ~ 봉화산 정상,,4.2,쉬움,,,,,,,,2020-07-09,4750000,전라북도 장수군
442100000,일락산,17,일락사주차장~석문봉,,2.5,,,,,,,,,2020-07-01,4530000,충청남도 서산시
442100000,성왕산,18,온석동~한성 APT,,0.8,,,,,,,,,2020-07-01,4530000,충청남도 서산시
457403501,영대산,1,구암마을 ~ 영대산 정상,"산의 형태는 수려하고 단아하며 장수 5대 명산 중의 하나이다. 마치 인자하고 후덕한 어머니가 자식을 품에 안고 젖을 먹이는 듯한 산이기도 하다.이 산은 장수 8경(景)의 하나인 영산영월(靈山迎月)의 경관을 자랑하는 산이다.호남의 진산인 팔공산이 의연이 솟아 뻗어 내린 줄기가 성수산, 마이산으로 북향하고, 배후일맥(背後一脈)이 서향하여 갈무봉에서 기봉하고 생왕사절과협개장(生旺死絶過峽開帳)하여 잠잠(岑岑)이 가다가 조용히 머문 산이다.장수 서쪽 방",2.6,쉬움,,,,,,,,2020-07-09,4750000,전라북도 장수군
457403501,영대산,2,칠영사 ~ 영대산 정상,,2,쉬움,,,,,,,,2020-07-09,4750000,전라북도 장수군
457403501,영대산,3,능곡마을 ~ 영대산 정상,,1.6,쉬움,,,,,,,,2020-07-09,4750000,전라북도 장수군
457401601,사두봉,1,수분리휴게소 ~ 바구니봉 ~ 사두봉 ~ 신덕산마을,"백두대간 영취산(靈鷲山)에서 분기된 금남호남정맥(錦南湖南正脈)이 서북쪽으로 뻗어가며 무룡고개 장안산을 거쳐 금남호남정맥에 솟구쳐 오른 산이다.행정구역상 장수군 장수읍과 번암면 경계에 있으며 수분치에서 남으로는 섬진강, 북으로는 금강을 가르고 원수분마을 뒤 신무산 기슭에는 금강의 발원지가 있다.옛날에 봉이 높았다 하여 봉화를 올렸고 한자로 뱀머리를 써서 봉이 뱀머리처럼 생겼다하여 사두봉이라 한다.",8.4,중간,,,,,,,,2020-07-09,4750000,전라북도 장수군
457402301,신무산,1,자고개 ~ 신무산 정상 ~ 수분리마을,"신무산은 장수읍 용계리와 수분리, 식천리 경계에 있는 산으로 해발 896.8m이다. 이 산을 중심으로 수분리 마을 쪽에 위치한 뜬봉샘은 금강의 발원지이고 용계리 쪽에서는 용계천의 발원지가 되고 개정리 쪽에서는 용의 머리에 해당한다고 하기도 한다.신선(神仙)이 춤을 추고 있는 산이라 하여 신무산(神舞山)이라 이름 지어진 이 산은, 전설에 의하면 용을 승천시키려고 신선들이 춤을 추는데 주변 용계리와 송천리 사이의 넓은 들 가운데 타관에서 흘러들어와",3.9,쉬움,,,,,,,,2020-07-09,4750000,전라북도 장수군
457400304,봉화산(계남),1,싸리재 ~ 봉화산 정상 ~ 침곡마을,장수군 계남면에 위치한 봉화산은 장수군 천천면과 계남면의 경계를 이룬 해발 794m의 산이다 우리나라 허다한 산 중에서 가장 흔한 산이름의 하나인 봉화산은 이름 그대로 옛날에 봉수대를 두어 나라의 위급을 조정에 알리던 산이다 산을 등반을 하다보면 침령마을로 가기 전에 침령산성(山城)이라는 유적지가 있다.침령산성(砧嶺山城)은 백제말에 신라와 전투를 위해 쌓은 전방기지로 추정되어왔지만 최근에 조사를 위하면 이 산성은 삼국시대 가야세력이 처음 축성(,9.8,중간,,,,,,,,2020-07-09,4750000,전라북도 장수군
457403401,삿갓봉,1,와룡휴양림(관리소) ~ 삿갓봉 ~ 오계치 ~ 와룡휴양림,,4.7,쉬움,,,,,,,,2020-07-09,4750000,전라북도 장수군
361100100,원수산,1,원수산 둘레길1코스,생태통로진입 - 삼거리3 - 삼거리2 - 원수산정상 - 삼거리1 - 사거리 - 삼거리4 - 삼거리3 - 생태로진입,4.5,쉬움,90,90,육산,Y,N,,,2020-06-15,1670000,행정중심복합도시건설청
361100100,원수산,2,원수산 둘레길2코스,덕성사원 진입로 - 대덕사 진입로 - 삼거리1 - 원수산정상 - 삼거리2 - 삼거리3 - 삼거리4 - 대덕사(덕성사원)진입로,3.4,쉬움,66,66,육산,Y,N,,,2020-06-15,1670000,행정중심복합도시건설청
361100100,원수산,3,원수산 둘레길3코스,청사쪽 진입로 - 사거리 - 삼거리1 - 원수산정상 - 삼거리2 - 삼거리3 - 삼거리4 - 삼거리1 - 사거리 - 청사쪽 진입로,4.3,쉬움,85,85,육산,Y,N,,,2020-06-15,1670000,행정중심복합도시건설청
361100100,원수산,4,원수산 둘레길4코스,(구)양화2리진입로 - 삼거리2 - 원수산정상 - 삼거리1 - 삼거리4 - 삼거리3 - 삼거리2 - (구)양화2리진입로,5.4,쉬움,108,108,육산,Y,N,,,2020-06-15,1670000,행정중심복합도시건설청
361100201,전월산,1,전월산 둘레길1코스,(구)양화1리 진입로 - 전월산정상 - (구)양화2리 진입로,2.1,쉬움,47,47,육산,Y,N,,,2020-06-15,1670000,행정중심복합도시건설청
361100201,전월산,2,전월산 둘레길2코스,(구)양화1리 진입로 - 전월산정상 - (구)월산공단 진입로,2,쉬움,45,45,육산,Y,N,,,2020-06-15,1670000,행정중심복합도시건설청
361100201,전월산,3,전월산 둘레길3코스,(구)양화2리 진입로 - 삼거리1 - 사거리 - 삼거리3 - 금강변 진입로,2.6,쉬움,60,60,육산,Y,N,,,2020-06-15,1670000,행정중심복합도시건설청
361100201,전월산,4,전월산 둘레길4코스,(구)월산공단 진입로 - 사거리 - 금강변 진입로,1.2,쉬움,30,30,육산,Y,N,,,2020-06-15,1670000,행정중심복합도시건설청
272900804,비슬산,3,청도군 비슬산 둘레길,"청도자연휴양림, 월광봉, 기차바위",20,쉬움,,,비포장,N,N,,Y,2020-06-30,5190000,경상북도 청도군
478200601,남산,2,남산 등산로,"신둔사, 남산 정상",1.67,중간,,,비포장,N,N,,Y,2020-06-30,5190000,경상북도 청도군
272900804,비슬산,1,비슬산 등산로(보림사-수월리정상),"보림사, 기차바위",3.41,중간,,,비포장,N,N,,Y,2020-06-30,5190000,경상북도 청도군
442100000,간대산,1,도당리~은봉산,,1.3,,,,,,,,,2020-07-01,4530000,충청남도 서산시
442100000,금강산,2,성연면~인지면,,3.1,,,,,,,,,2020-07-01,4530000,충청남도 서산시
442100000,당산,3,반양초~삼송리,,2.4,,,,,,,,,2020-07-01,4530000,충청남도 서산시
442100401,도비산,4,부석사~동사,,1.9,,,,,,,,,2020-07-01,4530000,충청남도 서산시
442100401,도비산,5,해넘이~해돋이 전망대,,1.8,,,,,,,,,2020-07-01,4530000,충청남도 서산시
442100401,도비산,6,임도~정상,,1.2,,,,,,,,,2020-07-01,4530000,충청남도 서산시
442100401,도비산,7,석천암~정상,,0.9,,,,,,,,,2020-07-01,4530000,충청남도 서산시
442100000,동암산,8,가좌1리~갈산3리 서정 APT,,2.1,,,,,,,,,2020-07-01,4530000,충청남도 서산시
442100000,망일산,9,망일사~영탑리,,1.2,,,,,,,,,2020-07-01,4530000,충청남도 서산시
442100000,부춘산,10,맛이나가든~서광사,,1.8,,,,,,,,,2020-07-01,4530000,충청남도 서산시
442100000,부춘산,11,봉화대~옥녀봉,,0.83,,,,,,,,,2020-07-01,4530000,충청남도 서산시
442100000,부춘산,12,단군전~옥녀봉,,0.6,,,,,,,,,2020-07-01,4530000,충청남도 서산시
442100000,상왕산,13,상왕산~석문봉,,5.1,,,,,,,,,2020-07-01,4530000,충청남도 서산시
448100301,가야산,14,한서대~석문봉,,1.5,,,,,,,,,2020-07-01,4530000,충청남도 서산시
448100301,가야산,15,황락저수지~석문봉,,1.2,,,,,,,,,2020-07-01,4530000,충청남도 서산시
448100301,가야산,16,개심사~석문봉,,3,,,,,,,,,2020-07-01,4530000,충청남도 서산시
442100000,소탐산,19,수석동~정수장,,1.2,,,,,,,,,2020-07-01,4530000,충청남도 서산시
442101901,연암산,20,천장사~연암산~삼준산~천장사,,5.1,,,,,,,,,2020-07-01,4530000,충청남도 서산시
442100000,삼준산,21,해미면 대곡리 ~ 삼준산,,5.2,,,,,,,,,2020-07-01,4530000,충청남도 서산시
442102401,팔봉산,22,양길리~어송리 주차장,,3.9,,,,,,,,,2020-07-01,4530000,충청남도 서산시
442102401,팔봉산,23,1봉~3봉,,0.7,,,,,,,,,2020-07-01,4530000,충청남도 서산시
442100000,황금산,24,주차장~끝골,,1.2,,,,,,,,,2020-07-01,4530000,충청남도 서산시
442100000,황금산,25,쉼터~코끼리바위,,0.43,,,,,,,,,2020-07-01,4530000,충청남도 서산시
442100000,황금산,26,쉼터~굴금,,0.21,,,,,,,,,2020-07-01,4530000,충청남도 서산시
442100000,황금산,27,쉼터~정상~주차장,,0.62,,,,,,,,,2020-07-01,4530000,충청남도 서산시
451400101,미륵산,1,,,1.9,,,,,,,,,2020-07-01,4680000,전라북도 익산시
451400102,미륵산,2,,,1.6,,,,,,,,,2020-07-01,4680000,전라북도 익산시
451400103,미륵산,3,,,1.8,,,,,,,,,2020-07-01,4680000,전라북도 익산시
451400104,미륵산,4,,,1.5,,,,,,,,,2020-07-01,4680000,전라북도 익산시
451400105,미륵산,5,,,1.9,,,,,,,,,2020-07-01,4680000,전라북도 익산시
451400106,미륵산,6,,,1.7,,,,,,,,,2020-07-01,4680000,전라북도 익산시
451400107,미륵산,7,,,1,,,,,,,,,2020-07-01,4680000,전라북도 익산시
451400108,미륵산,8,,,2.4,,,,,,,,,2020-07-01,4680000,전라북도 익산시
451400109,미륵산,9,,,1.1,,,,,,,,,2020-07-01,4680000,전라북도 익산시
451400110,미륵산,10,,,2.4,,,,,,,,,2020-07-01,4680000,전라북도 익산시
451400111,미륵산,11,,,2.2,,,,,,,,,2020-07-01,4680000,전라북도 익산시
451400112,미륵산,12,,,1.5,,,,,,,,,2020-07-01,4680000,전라북도 익산시
451400201,용화산,1,,,2.7,,,,,,,,,2020-07-01,4680000,전라북도 익산시
451400202,용화산,2,,,1.6,,,,,,,,,2020-07-01,4680000,전라북도 익산시
451400203,용화산,3,,,1.7,,,,,,,,,2020-07-01,4680000,전라북도 익산시
451400204,용화산,4,,,2.4,,,,,,,,,2020-07-01,4680000,전라북도 익산시
451400205,용화산,5,,,2.8,,,,,,,,,2020-07-01,4680000,전라북도 익산시
451400301,함라산,1,,,6,,,,,,,,,2020-07-01,4680000,전라북도 익산시
451400302,함라산,2,,,4,,,,,,,,,2020-07-01,4680000,전라북도 익산시
451400303,함라산,3,,,2,,,,,,,,,2020-07-01,4680000,전라북도 익산시
418303101,용문산,1,용문산,주차장-용문사-마당바위-정상,4,,180,,,,,,,2020-06-16,4170000,경기도 양평군
418303101,용문산,2,용문산,주차장-용문사-상원사-장군봉-정상,3,,180,,,,,,,2020-06-16,4170000,경기도 양평군
418303101,용문산,3,용문산,주차장-용문사-암릉-석문-정상,3,,180,,,,,,,2020-06-16,4170000,경기도 양평군
418303101,용문산,4,용문산,연수리-상원사-장군봉-정상,3,,180,,,,,,,2020-06-16,4170000,경기도 양평군
418304701,백운봉,5,백운봉,새수골-헬기장-정상,2.5,,120,,,,,,,2020-06-16,4170000,경기도 양평군
418304701,백운봉,6,백운봉,쉬자파크-두리봉-정상,2.5,,120,,,,,,,2020-06-16,4170000,경기도 양평군
418304701,백운봉,7,백운봉,연수리-수득골 백운암-형제약수터-정상,1.8,,120,,,,,,,2020-06-16,4170000,경기도 양평군
418304701,백운봉,8,백운봉,사나사-함왕성-정상,2.2,,120,,,,,,,2020-06-16,4170000,경기도 양평군
418303701,중원산,10,중원산,상현마을-중원계곡-정상,2.5,,120,,,,,,,2020-06-16,4170000,경기도 양평군
418303701,중원산,11,중원산,상현마을-정상,2.2,,120,,,,,,,2020-06-16,4170000,경기도 양평군
418303701,도일봉,12,도일봉,상현마을-중원폭포-치마폭포-정상,5.6,,150,,,,,,,2020-06-16,4170000,경기도 양평군
418302101,봉미산,13,봉미산,산음-생골-정상,3,,120,,,,,,,2020-06-16,4170000,경기도 양평군
418302101,봉미산,14,봉미산,산음-483봉-능선경유-정상,3,,120,,,,,,,2020-06-16,4170000,경기도 양평군
418302101,봉미산,15,봉미산,섬이마을-만수터-봉미산,2.8,,120,,,,,,,2020-06-16,4170000,경기도 양평군
418302601,소리산,16,소리산,수봉정-수리바위-정상,2,,110,,,,,,,2020-06-16,4170000,경기도 양평군
418302601,소리산,17,소리산,소향산장-정상,1.9,,90,,,,,,,2020-06-16,4170000,경기도 양평군
418300101,갈기산,18,갈기산,신대-정상,2.1,,90,,,,,,,2020-06-16,4170000,경기도 양평군
418300101,갈기산,19,갈기산,하고론마을-약수터-정상,2.8,,120,,,,,,,2020-06-16,4170000,경기도 양평군
418300101,갈기산,20,갈기산,고론공원-정상,2.1,,90,,,,,,,2020-06-16,4170000,경기도 양평군
416703701,일당산,21,일당산,솔치-물탕골-일당산-당산,2.7,,120,,,,,,,2020-06-16,4170000,경기도 양평군
416703701,일당산,22,일당산,솔치-곰지기골-안부-당산,2.8,,120,,,,,,,2020-06-16,4170000,경기도 양평군
418300501,고래산,23,고래산,금동마을-정상,3.5,,180,,,,,,,2020-06-16,4170000,경기도 양평군
418300501,고래산,24,고래산,배잔마을-정상,3.7,,180,,,,,,,2020-06-16,4170000,경기도 양평군
418303501,추읍산,25,추읍산,삼성리-질마재-정상,1.6,,90,,,,,,,2020-06-16,4170000,경기도 양평군
418303501,추읍산,26,추읍산,주읍-정상,2.2,,90,,,,,,,2020-06-16,4170000,경기도 양평군
418303501,추읍산,27,추읍산,내동마을-정상,2.2,,90,,,,,,,2020-06-16,4170000,경기도 양평군
418303501,추읍산,28,추읍산,원덕역-정상,4,,150,,,,,,,2020-06-16,4170000,경기도 양평군
418303501,추읍산,29,추읍산,능골-정상,3,,150,,,,,,,2020-06-16,4170000,경기도 양평군
418302701,양자산,30,양자산,성덕-고개-정상,1.8,,90,,,,,,,2020-06-16,4170000,경기도 양평군
418302701,양자산,31,양자산,남한강변-백병봉-정상,2.7,,120,,,,,,,2020-06-16,4170000,경기도 양평군
418302701,양자산,32,양자산,종지골-정상,1.5,,90,,,,,,,2020-06-16,4170000,경기도 양평군
418303801,청계산,33,청계산,청계-정상,1.4,,90,,,,,,,2020-06-16,4170000,경기도 양평군
418303801,청계산,34,청계산,목왕-안부-정상,1.6,,90,,,,,,,2020-06-16,4170000,경기도 양평군
418303801,청계산,35,청계산,국수역-청계리-정상,5,,180,,,,,,,2020-06-16,4170000,경기도 양평군
418303801,청계산,36,청계산,벗고개-송골고개-정상,2,,90,,,,,,,2020-06-16,4170000,경기도 양평군
418302201,부용산,37,부용산,양수역-양수터-하계산-정상,4.4,,90,,,,,,,2020-06-16,4170000,경기도 양평군
418302201,부용신,38,부용산,신원역-몽양여운형생가-정상,2.2,,60,,,,,,,2020-06-16,4170000,경기도 양평군
418303001,옥산,39,옥산,한화리조트-토끼봉-정상,1.2,,75,,,,,,,2020-06-16,4170000,경기도 양평군
418303001,옥산,40,옥산,한화리조트-선녀탕-노루목-정상,1.2,,75,,,,,,,2020-06-16,4170000,경기도 양평군
418303001,옥산,41,옥산,농다치-정상,1.1,,75,,,,,,,2020-06-16,4170000,경기도 양평군
418303301,대부산,42,대부산,동막마을-계곡경유-정상,2.9,,120,,,,,,,2020-06-16,4170000,경기도 양평군
418303301,대부산,43,대부산,복동마을-440봉-정상,3.2,,110,,,,,,,2020-06-16,4170000,경기도 양평군
418302901,어비산,44,어비산,두명안-입구지-정상,1.4,,60,,,,,,,2020-06-16,4170000,경기도 양평군
418302901,어비산,45,어비산,두명안-숫고개-804봉-정상,1.3,,95,,,,,,,2020-06-16,4170000,경기도 양평군
418302901,어비산,46,어비산,갈현 어비계곡-정상,1.5,,60,,,,,,,2020-06-16,4170000,경기도 양평군
418303301,유명산,47,유명산,복동마을-갈림길-안부-정상,3.2,,90,,,,,,,2020-06-16,4170000,경기도 양평군
418303301,유명산,48,유명산,동막마을-갈림길-정상,2.8,,90,,,,,,,2020-06-16,4170000,경기도 양평군
418202501,소구니산,49,소구니산,농다치-660봉-정상,3.2,,90,,,,,,,2020-06-16,4170000,경기도 양평군
418202501,소구니산,50,소구니산,서너치고개-정상,2.8,,90,,,,,,,2020-06-16,4170000,경기도 양평군
418303601,중미산,51,중미산,양현-안부-정상,2.8,,90,,,,,,,2020-06-16,4170000,경기도 양평군
418303601,중미산,52,중미산,명달-삼각골경유-정상,3,,110,,,,,,,2020-06-16,4170000,경기도 양평군
418303601,중미산,53,중미산,명달-절터고개-정상,3,,110,,,,,,,2020-06-16,4170000,경기도 양평군
418204101,통방산,54,통방산,노문-일주암-567봉-정상,4,,120,,,,,,,2020-06-16,4170000,경기도 양평군
418204101,통방산,55,통방산,명달-삼태봉-정상,2.8,,90,,,,,,,2020-06-16,4170000,경기도 양평군
418204401,화야산,56,화야산,수입고개-고동산-591봉-정상,9,,180,,,,,,,2020-06-16,4170000,경기도 양평군
418200601,고동산,57,고동산,수입고개-정상,3,,100,,,,,,,2020-06-16,4170000,경기도 양평군
442700101,야호대,1,,,4,,,,,,,,,2018-09-03,5680000,충청남도 당진시
442700201,대덕산,2,,,4,,,,,,,,,2018-09-03,5680000,충청남도 당진시
442700301,구룡산,3,,,5,,,,,,,,,2018-09-03,5680000,충청남도 당진시
442700401,둔군봉,4,,,4,,,,,,,,,2018-09-03,5680000,충청남도 당진시
442700501,성동산,5,,,2.5,,,,,,,,,2018-09-03,5680000,충청남도 당진시
224700601,송악산,6,,,3,,,,,,,,,2018-09-03,5680000,충청남도 당진시
224700701,팔아산,7,,,3,,,,,,,,,2018-09-03,5680000,충청남도 당진시
442700801,삼선산,8,,,4.5,,,,,,,,,2018-09-03,5680000,충청남도 당진시
442700901,석문산,9,,,2,,,,,,,,,2018-09-03,5680000,충청남도 당진시
442701001,자모산,10,,,4,,,,,,,,,2018-09-03,5680000,충청남도 당진시
442701101,봉화산(정미면),11,,,4.5,,,,,,,,,2018-09-03,5680000,충청남도 당진시
224701201,봉화산(송산면),12,,,2.5,,,,,,,,,2018-09-03,5680000,충청남도 당진시
442701301,덕마산,13,,,2,,,,,,,,,2018-09-03,5680000,충청남도 당진시
442701401,아미산,14,,,9.2,,,,,,,,,2018-09-03,5680000,충청남도 당진시
442701501,몽산,15,,,3,,,,,,,,,2018-09-03,5680000,충청남도 당진시
442701601,다불산,16,,,2.4,,,,,,,,,2018-09-03,5680000,충청남도 당진시
442701701,보령산,17,,,1.5,,,,,,,,,2018-09-03,5680000,충청남도 당진시
442701801,구절산,18,,,2,,,,,,,,,2018-09-03,5680000,충청남도 당진시
224701901,함박산,19,,,3,,,,,,,,,2018-09-03,5680000,충청남도 당진시
224702001,당산,20,,,2,,,,,,,,,2018-09-03,5680000,충청남도 당진시
442702101,망객산,21,,,2,,,,,,,,,2018-09-03,5680000,충청남도 당진시
447202201,망치산,22,,,4,,,,,,,,,2018-09-03,5680000,충청남도 당진시
