야생동물구조센터명,소재지도로명주소,소재지지번주소,위도,경도,운영시작시각,운영종료시각,휴무일정보,야생동물구조센터지정일자,야생동물구조센터면적,수의사인원수,질병연구자인원수,진료실수,수술실수,영상진단실수,입원실수,유전자원보관실수,재활실수,격리실수,구조차량대수,운반상자현황,포획장비현황,진료장비현황,구조센터기능,대표자명,전화번호,데이터기준일자,제공기관코드,제공기관명
유일동물병원,경기도 양평군 양평읍 미리내길 96,경기도 양평군 양평읍 도곡리 285-1,37.4810742092,127.5349126016,06:00,20:00,연중무휴,2012-01-01,60,1,1,1,1,,,,,,,,,,,,031-772-2727,2020-05-26,4170000,경기도 양평군
서울시 야생동물센터,서울특별시 관악구 관악로 1,,37.46803832,126.9592954,09:00,18:00,연중무휴,2017-07-01,,1,5,,,,,,,,,,,,,,02-880-8659,2020-07-07,3040000,서울특별시 광진구
울산광역시 야생동물구조관리센터,울산광역시 남구 남부순환도로 293번길 25-3,울산광역시 남구 옥동 506-2,35.5287779,129.2768224,09:00,18:00,없음,2008-04-18,470,1,2,1,1,1,2,0,5,0,1,대형 2개 + 중형 4개 + 소형 7개,뱀집게 등 10개,x-ray촬영장비등 54종,야생동물 구조+치료+시료지원+교육+ 연구+기타,울산시설공단이사장(박순환),052-256-5322,2020-01-20,B553560,울산시설공단
경기도야생동물구조관리센터,경기도 평택시 진위면 동천길 132-93,경기도 평택시 진위면 동천리 56-3,37.1319753,127.1185099,09:00,18:00,토요일+일요일+공휴일,2009-03-24,,4,3,1,1,1,8,1,25,12,3,대형 맹금류 및 고라니용 6개+기타 소형동물 10개+기타 소형조류 종이박스,바닥깔개+고글+그물+마취총,진료대2+수술대1+마취기1+X-ray+초음파 등,"구조,치료+질병연구+생태연구+보호관리+교육+기타",이재명,031-8008-6212,2019-03-18,6410000,경기도
제일동물병원,경상북도 칠곡군 왜관읍 2번도로길 121,경상북도 칠곡군 왜관읍 왜관리 207-34,35.998451,128.396891054,09:00,18:00,토요일+일요일+공휴일,2018-01-01,115.7,1,0,1,0,0,0,0,0,0,1,1,1,,부상 야생동물 1차진료,김만조,054-973-8300,2019-06-20,5220000,경상북도 칠곡군
광주광역시야생동물구조관리센터,광주광역시 서구 무진대로 576,광주광역시 서구 유촌동 820-111,35.162384,126.843626,08:00,18:00,연중무휴,2019-01-01,576,2,1,1,1,1,4,1,5,1,1,대형1+중형1+소형2,블로건+고글+그물+안전장갑,디지털엑스레이기 등 99,구조+치료+재활+자연방생+질병조사+생태연구+교육+기타,광주광역시보건환경연구원장,062-613-6651,2019-05-23,6290000,광주광역시
제일가축병원,경상북도 문경시 호서로 82,경상북도 문경시 흥덕동 249-10,36.601523,128.202174,09:00,18:00,휴무없음,2000-01-01,50,1,5,1,1,1,1,1,1,1,1,10,5,10,야생동물구조,김진영,054-553-3308,2019-05-10,5120000,경상북도 문경시
대전야생동물구조관리센터,대전광역시 유성구 대학로 99,대전광역시 유성구 궁동 220번지,36.3679381,127.3442986,09:00,18:00,없음,2015-10-08,891,2,2,1,1,1,1,1,1,1,2,"■ 차량2대 : 코란도스포츠CX7(4WD)Club 2015년A/T & 올뉴쏘렌토E2.0디젤2WD프레스티지A/T / ■ 동물운반 : 플라스틱 계류장 (소, 중 ,대) 10개","■ 용접용 장갑 (소, 중) 11개 /  ■ 인조잔디 바닥깔개 약90개 / ■ 고글 1개, 안대용 후드 7개 / ■ 멸균생리식염수 및 일반 구급약품상자 1개 / ■ 포획용 그물 4개 / ■ 올가미 막대 1개, 안전 집게 2개, 블로우건 2개 / ■ 촬영장비 2개(디지털카메라Sony,CN/DSC-HW400V,2040만화소 & 캠코더Sony,CN/FDR-AX100,1420만화소)","수술대, 수술등, 흡입마취기, 수액펌프, X-ray, 혈액검사장비세트, 원심분리기, 세균배양기, 고압멸균소독기, 네블라이저, 검이검안장비세트, 일반외과 수술기구, 정형외과 수술기구, 석션기, 산소발생기, 수액가온기, 적외선조사기","야생동물 구조치료 및 재활방사, 질병연구 등",송근호,042-821-7930,2017-11-28,6300000,대전광역시
서울특별시 야생동물 구조관리센터,서울특별시 관악구 관악로1 서울대학교 수의과대학 동물병원 (B1),,37.468095,126.953151,09:00,18:00,토요일+일요일,2017-07-01,,1,5,,,,,,,,,,,,,,02-880-8659,2018-11-30,3010000,서울특별시 중구
충남야생동물구조센터,충청남도 예산군 예산읍 대학로 54,충청남도 예산군 예산읍 대회리 1,36.66988681,126.859415,09:00,18:00,토요일+일요일+공휴일,2010-09-09,1044.96,2,0,1,1,1,32,1,23,0,2,포유류 4개+기타 1개,조류 포획망+포유류 포획망+생포트랩+포획집게,무영등 2개+방사선촬영기 1개+수술대 1개+안과검사기 1개+진료대 1개+혈액분석기 1개+호흡마취기 1개,교육+구조+재활+조난+질병연구+치료+홍보+기타,박영석,041-334-1666,2020-07-01,4540000,충청남도 논산시
유동물병원,경기도 의왕시 부곡중앙로 41,경기도 의왕시 삼동 208-10번지,37.3213211505,126.953535,09:00,20:00,일요일+공휴일,2009-10-01,46,1,0,1,1,1,1,0,0,2,0,,,,야생동물 치료,류제영,031-462-8277,2020-07-10,4030000,경기도 의왕시
장유동물병원,경상남도 김해시 능동로 11,경상남도 김해시 삼문동 77-14,35.1960914,128.7947602,10:00,19:00,일요일(휴일종료시각: 5시),2018-01-01,99.1735,1,1,1,1,1,2,0,0,1,0,1,0,x선 초음파 혈액검사,,최종윤,055-313-7582,2020-06-30,5350000,경상남도 김해시
경남야생동물센터,경상남도 진주시 진주대로 501,경상남도 진주시 가좌동 900,35.1567151125,128.0980020769,09:00,18:00,연중무휴,2008-01-15,,5,1,1,1,1,3,1,9,2,2,켄넬10종,그물망외12종,X-ray외52종,"야생동물 구조 및 치료, 질병연구, 유전자원 보존 등",정동인,055-754-9575,2020-06-30,6480000,경상남도
파랑새동물병원,경상북도 구미시 고아읍 들성로11길 6-5,경상북도 구미시 고아읍 문성리 1294,36.16208508,128.3489706,09:00,18:00,"일요일, 공휴일",2005-03-01,82,1,0,,1,,2,,,,,1,,"혈액분석기,   X-RAY",치료,박정우,054-456-4791,2020-06-20,5080000,경상북도 구미시
충남야생동물구조센터,충청남도 예산군 예산읍 대학로 54,충청남도 예산군 예산읍 대회리 1,36.66988681,126.859415,09:00,18:00,토요일+일요일+공휴일,2010-09-09,1639.43,2,6,1,1,1,0,1,0,0,2,대형켄넬 6개+중형켄넬 3개+소형켄넬 2개+조류박스 다량,고라니포획망 2개+조류포획망 4개+포획집게 2개+올무 1개,진료대 1+수술대 1+마취기 1,구조+질병연구+보호관리+교육+기타,박영석,041-330-1666,2020-06-17,6440000,충청남도
경기도야생동물구조관리센터,경기도 평택시 진위면 동천길 132-93,경기도 평택시 진위면 동천리 56-3,37.13202593,127.1183287,09:00,18:00,토요일+일요일+공휴일,2010-03-19,338,5,4,1,1,1,6,1,14,0,4,-,포획망외 8,X ray외 19,구조+질병연구+생태연구+보호관리+교육+기타,이재명,031-8008-6212,2020-04-28,3910000,경기도 평택시
사단법인 한국동물구조관리협회,경기도 양주시 남면 감악산로 63-37,경기도 양주시 남면 상수리 410-1,37.87011581,126.9835431,09:00,18:00,"일요일, 공휴일",2017-03-01,450,1,8,1,1,0,6,0,1,1,7,40,포획틀+블로우건+뜰채 등,수술대2+마취기 등,구조+질병연구+보호관리 등,김철훈,031-867-9119,2020-05-25,5590000,경기도 양주시
서울시 야생동물 구조센터,서울특별시 관악구 관악로 1,,37.4680385090,126.9592960330,09:00,18:00,연중무휴,2017-01-01,,2,16,,,,,,,,,,,,,,02-880-8659,2020-05-27,3070000,서울특별시 성북구
울산광역시 야생동물구조센터,울산광역시 남구 남부순환도로293번길 25-3,울산광역시 남구 옥동 506-2,35.52877897,129.2768208,09:00,18:00,연중무휴,2008-04-18,2521,1,0,1,1,1,2,0,1,0,1,13,10,38,"야생동물 구조 및 치료, 재활 등",고영진,052-226-0434,2020-05-22,3700000,울산광역시 남구
다사랑종합동물병원,대구광역시 동구 신암로86-1,대구광역시 동구 신암2동 1196-57,35.878708,128.610019,09:30,17:30,"공휴일,국경일",2017-01-01,,1,0,1,1,1,1,,,,,,,,,손호희,053-942-0805,2020-05-19,3420000,대구광역시 동구
전북야생동물구조관리센터,전라북도 익산시 고봉로 79,전라북도 익산시 마동 194-5,35.9424523936,126.9599065274,09:00,18:00,연중무휴,2006-09-14,,2,0,8,1,1,3,,,1,2,특대형+대형+중형+중소형+소형,,진료대+수술대+마취기,구조+치료+방생,박진호,063-0850-0983,2020-03-18,4680000,전라북도 익산시
전북야생동물구조관리센터,전라북도 익산시 고봉로 79,전라북도 익산시 마동 194-5,35.9424523936,126.9599065274,09:00,18:00,연중무휴,2006-09-14,,2,0,8,1,1,3,,,1,2,특대형+대형+중형+중소형+소형,,진료대+수술대+마취기,구조+치료+방생,박진호,063-850-0983,2019-09-10,4720000,전라북도 완주군
하남동물병원,경기도 하남시 신평로 37,경기도 하남시 덕풍동 420-35,37.5371145,127.204029,10:30,19:30,휴일,2019-01-14,0,1,1,1,1,1,1,0,0,1,0,,,,있음,이상인,031-793-7802,2019-05-23,4040000,경기도 하남시
울산광역시야생동물구조관리센터,울산광역시 남구 남부순환도로 293번길 25-3,울산광역시 남구 옥동 506-2,35.5287778990,129.2768223919,09:00,18:00,연중무휴,2008-04-18,470,2,0,1,1,1,,0,33,20,1,대형 2개 + 중형 4개 + 소형 7개,뱀집게 등 10개,x-ray촬영장비등 54종,야생동물 구조+치료+재활+자연복귀+시료제공+교육+ 연구+기타,울산시설공단이사장(박순환),052-256-5322,2019-09-27,6310000,울산광역시
영덕야생동물구조센터,경상북도 영덕군 영덕읍 군청길 116,,36.415009,129.365399584,09:00,18:00,토요일+일요일,2018-04-01,,1,0,,,,,,,,,,,,,,054-730-6182,2019-09-19,5180000,경상북도 영덕군
경남야생생물보호협회,경상남도 창원시 마산합포구 진전면 대산길 126,경상남도 창원시 마산합포구 진전면 임곡리 101-2,35.1025716429,128.436381,00:00,00:00,공휴일 휴무,2018-01-01,3305.78,0,0,,,,,,18,18,3,6,포획망 3개,,"신고시 현장출동 후 구조 및 방사, 치료 필요시 동물병원 이송",옥수호,055-282-7112,2019-09-24,5670000,경상남도 창원시
창원동물병원,경상남도 창원시 의창구 원이대로 277,경상남도 창원시 의창구 봉곡동 36-7,35.2428697790,128.6505222214,09:00,19:00,일요일 휴무,2018-01-01,76,1,0,1,1,1,12,0,0,1,0,0,0,"엑스레이, 초음파, 수술장비, 혈액검사장비 등",기능없음,이동준,055-238-5457,2019-09-24,5670000,경상남도 창원시
경상동물병원,"경상남도 창원시 성산구 원이대로 656, 104호(상남동 대한상가)",경상남도 창원시 성산구 상남동 1-5,35.2242455640,128.685159,09:00,18:00,일요일 휴무,2018-01-01,99.17,1,0,1,1,1,1,0,0,1,0,0,0,"엑스레이, 초음파, 수술장비, 혈액검사장비 등",,신용운,055-287-8275,2019-09-24,5670000,경상남도 창원시
한강동물병원,경상남도 창원시 마산합포구 월영남로 7,경상남도 창원시 마산합포구 해운동 17-2,35.1781052376,128.558793,09:00,19:00,일요일 휴무,2018-01-01,66,1,0,2,1,1,1,0,0,1,0,0,0,"엑스레이, 초음파, 수술장비, 혈액검사장비 등",,김동수,055-241-5005,2019-09-24,5670000,경상남도 창원시
회원종합동물병원,경상남도 창원시 마산회원구 회원남1길 49 삼성메르빌상가 101호,경상남도 창원시 마산회원구 회원동 403-3,35.2185140162,128.5703054736,09:00,20:00,일요일 휴무,2018-01-01,231,3,0,2,1,1,2,0,1,1,0,3,0,"엑스레이, 초음파, 수술장비, 혈액검사장비 등",,이승찬,055-247-4819,2019-09-24,5670000,경상남도 창원시
오케이동물병원,경상남도 창원시 진해구 충장로 143-1,경상남도 창원시 진해구 여좌동 796-6,35.1522391577,128.667825,09:00,18:00,토요일 휴무,2018-01-01,132,2,0,2,1,2,10,0,0,10,0,0,0,"엑스레이, 초음파, 수술장비, 혈액검사장비 등",관내 부상동물 치료(구조 기능 없음),주정훈,055-546-7588,2019-09-24,5670000,경상남도 창원시
충남야생동물구조센터,충청남도 예산군 예산읍 대학로 54,충청남도 예산군 예산읍 대회리 1,36.6696866,126.8599317,09:00,18:00,공휴일+토요일+일요일+(휴일당직자1인근무),2010-09-09,1044.96,2,0,1,1,1,32,1,23,0,2,포유류케이지4개+종이상자(소모품),조류 포획망3+포유류포획망1+생포트랩3+포획집게2,호흡마취기1+ 수술대1+진료대1+방사선촬영기1+무영등2+안과검사기1+혈액분석기1,조난 또는 부상당한 야생동물의 구조?치료관리 및 재활훈련+야생동물의 질병연구+멸종위기종 등 야생동물의 보전 및 생물자원의 보존관리+기타,박영석,041-330-1666,2019-09-18,4610000,충청남도 예산군
한국동물구조관리협회,경기도 양주시 남면 감악산로 63-37,경기도 양주시 남면 상수리 410-1,37.8700725,126.9832252,09:00,17:00,"공휴일(단, 토요일 16:00)",2007-03-26,9877,1,0,1,,,,,2,3,,,"안전장갑, 뜰채",,,김철훈,031-867-9119,2019-09-05,5600000,경기도 포천시
전남야생동물관리센터,전라남도 순천시 순천만길 922-15(인월동),전라남도 순천시 인월동 226-1,34.8902313,127.4842143,09:00,18:00,무휴,2007-04-11,,2,2,1,1,1,30,1,0,0,1,"크기별 총 20개,     종이 운반상자 종류별 각200매","포획그물, 그라스퍼 등 5종",x-ray등 의료장비 50종,조난야생동물 구조 및 치료 후 방사,순천시장,061-749-4800,2019-08-29,4820000,전라남도 순천시
서울시 야생동물 구조관리센터,"서울특별시 관악구 관악로1(신림동, 서울대학교 수의과대학 야생동물센터)",서울특별시 관악구 신림동 산56-1(서울대학교 수의과대학 야생동물센터),37.467501,126.953611,09:00,18:00,연중무휴,2017-07-01,290.36,01,05,01,01,01,01,01,01,01,02,대형 6개 + 기타 12개,바닥깔개+고글+그물+마취총,MRI+CT+수술대+마취기 외 74종,구조+보호관리+질병연구+진단검사+재활,신남식,02-880-8659,2019-07-18,3120000,서울특별시 서대문구
부산야생동물치료센터,부산광역시 사하구 낙동남로 1240-2,부산광역시 사하구 하단동 1207-1,35.1058158542,128.943159404,09:00,18:00,연중무휴,2008-10-27,1245,4,1,2,1,2,8,1,9,5,1,대형 맹수용 4개+기타4개,그물+포획용집게+마취총,진료대3+수술대1+영상장비4+마취기1,구조+치료관리+질병연구+보호관리+교육+기타,강이규,051-209-2090,2019-08-26,6260000,부산광역시
서울시 야생동물 구조관리센터,"서울특별시 관악구 관악로1(신림동, 서울대학교 수의과대학 야생동물센터)",서울특별시 관악구 신림동 산56-1(서울대학교 수의과대학 야생동물센터),37.4602626,126.9535979,09:00,18:00,연중무휴,2017-07-01,,2,16,2,1,1,2,1,1,2,2,대형 6개 + 기타 12개,바닥깔개+고글+그물+마취총,MRI+CT+수술대+마취기 외 74종,구조+진단검사+치료관리+재활관리+방생관리+질병연구+질병방역+생물다양성교육,연성찬,02-880-8659,2019-08-22,3220000,서울특별시 강남구
(사)한국멸종위기 야생동식물보호협회 춘천시지부,강원도 춘천시 공지로 482번길 8(근화동),강원도 춘천시 근화동 724-1,37.8756637,127.7155870,09:00,18:00,연중무휴,2017-02-28,,0,0,,,,,,,,,,,,,,033-241-8275,2019-08-22,4180000,강원도 춘천시
서울대공원,경기도 과천시 대공원광장로 102,,37.4362947,127.0140986,00:00,24:00,연중무휴,2018-04-06,300,5,2,1,1,1,15,1,0,1,1,5,보드+포획그물 등,X-ray+초음파+생화학자동분석기+흡입마취기 등,동물원동물 진료,송천헌,02-500-7770,2019-08-16,1192000,해양수산부
SEALIFE 부산아쿠아리움(멀린엔터테인먼트코리아(주)),부산광역시 해운대구 해운대해변로 266,,35.1592713,129.1610038,00:00,24:00,연중무휴,2011-08-17,,1,1,,,,,,,,,,,,,송광호,051-740-1762,2019-08-16,1192000,해양수산부
㈜마린파크,제주특별자치도 서귀포시 안덕면 화순중앙로 132,,33.2408119,126.334718,00:00,24:00,없음,2018-03-07,,1,0,,,,,,,,,,,,,김형태,064-792-7776,2019-08-16,1192000,해양수산부
울산광역시남구도시관리공단(장생포고래생태체험관),울산광역시 남구 장생포고래로 244,,35.50273814,129.3807886,09:00,18:00,매주월요일+명절당일(일반 관람만 휴관),2018-03-07,,1,0,,,,,,,,,,,,,정신택,052-226-1941,2019-08-16,1192000,해양수산부
한화아쿠아플라넷 제주,제주특별자치도 서귀포시 성산읍 섭지코지로 95,제주특별자치도 서귀포시 성산읍 고성리 127-3,33.4344998,126.9260799,10:00,19:00,연중무휴,2018-03-07,25893,1,2,,,,,,,,,,,,,문석,064-780-0900,2019-08-16,1192000,해양수산부
한화아쿠아플라넷 여수,전라남도 여수시 오동도로 61-11,전라남도 여수시 수정동 774-1,34.7463071,127.7486576,10:00,19:00,연중무휴,2018-03-07,16400,1,6,,,,,,,,,,,,,문석,061-660-1111,2019-08-16,1192000,해양수산부
롯데월드아쿠아리움,서울특별시 송파구 올림픽로 300,,37.5136381,127.1044541,00:00,24:00,없음,2015-12-30,,2,7,1,1,0,1,1,0,1,1,3,몰이판+포획그물,1,1,박동기,02-3213-3348,2019-08-16,1192000,해양수산부
국립해양박물관,부산광역시 영도구 해양로 301번길 45,,35.07856617,129.0802497,09:00,18:00,매주월요일,2016-03-09,,1,0,,,,,,,,,,,,,주강현,051-309-1900,2019-08-16,1192000,해양수산부
㈜경포아쿠아리움,강원도 강릉시 난설헌로 131,,37.7910066,128.9062411,00:00,24:00,없음,2018-11-05,,2,2,,,,,,,,,,,,,남양,033-645-7887,2019-08-16,1192000,해양수산부
코엑스아쿠아리움,서울특별시 강남구 영동대로 513,서울특별시 강남구 삼성동 159,37.51182795,127.0591558,00:00,24:00,연중무휴,2019-06-10,15970,1,19,1,,,2,,2,3,1,5,운송 틀+산소공급장치+구급약품 등,,해양생물구조치료,양수용,02-700-7200,2019-08-16,1192000,해양수산부
다오동물병원,인천광역시 계양구 계양구 계산새로 71,인천광역시 계양구 1062 하이베라스 D동 213호,37.53856000,126.73605400,10:00,18:00,일요일+공휴일,2019-01-01,71.68,1,1,1,1,1,1,0,0,0,0,1,0,X-ray+초음파+혈액혈구분석기+고주파수술기,야생동물 구조 및 치료 등,송동호,032-548-0275,2019-08-12,3550000,인천광역시 계양구
인천야생동물구조관리센터,인천광역시 연수구 송도국제대로372번길 21,인천광역시 연수구 송도동 13-20,37.36672700,126.63855500,09:00,18:00,연중무휴,2018-03-27,376.2,3,0,1,1,1,21,1,9,1,2,종이상자500개+케이지12개,그물망 15개+포획틀 3개+블로우건 개,X-ray+초음파+혈액혈구분석기+내시경+C-arm+ICU+호흡마취기+기타,야생동물 구조 및 치료 등,라도경,032-858-9703,2019-08-12,3550000,인천광역시 계양구
동인동물병원,대구광역시 중구 국채보상로 724(동인동4가),대구광역시 중구 동인동4가 332,35.8684300,128.609676,09:30,18:30,일요일+국경일,1996-01-01,,2,0,2,2,1,12,,,3,,,,,,최동학,053-424-4258,2019-06-20,3410000,대구광역시 중구
아마존동물병원,경기도 구리시 경춘로 128,경기도 구리시 교문동 270-2,37.600826,127.130017,09:00,18:00,일요일,2007-03-15,660,2,4,2,2,1,4,0,0,1,1,기타 12개,바닥깔개+고글+그물+마취총,진료대 2+수술대 2+마취기 1,구조+치료+재활+보호관리+방사+기타,박재원,031-564-0075,2019-04-26,3980000,경기도 구리시
충북 야생동물센터,충청북도 청주시 청원구 오창읍 양청4길 45,,36.728384,127.438086,09:00,18:00,토요일+일요일+공휴일,2014-09-30,,2,2,,,,,,,,,,,,,,043-216-3328,2018-08-23,5570000,충청북도 증평군
